activity_id,user_id,activity_date,activity_type,session_duration_min,pages_viewed
A000498,U00115,2024-07-16,Feature Use,59,1
A000499,U00116,2024-06-25,Purchase,27,7
A000500,U00117,2024-08-17,Feature Use,52,19
A000501,U00118,2024-06-14,Feature Use,15,20
A000502,U00118,2024-07-17,Browse,48,2
A000503,U00118,2024-08-15,Purchase,2,19
A000504,U00118,2024-09-12,Browse,27,12
A000505,U00118,2024-10-13,Cart,20,8
A000506,U00118,2024-11-13,Browse,14,5
A000507,U00118,2024-12-12,Login,37,10
A000508,U00118,2025-01-10,Cart,10,9
A000509,U00119,2024-06-13,Feature Use,4,20
A000510,U00119,2024-07-12,Login,43,16
A000511,U00119,2024-08-11,Purchase,9,2
A000512,U00119,2024-09-10,Cart,41,16
A000513,U00119,2024-10-12,Cart,56,19
A000514,U00119,2024-11-09,Feature Use,41,10
A000515,U00120,2024-01-23,Browse,38,17
A000516,U00120,2024-02-18,Purchase,30,1
A000517,U00121,2024-01-10,Purchase,39,8
A000518,U00121,2024-02-11,Purchase,55,19
A000519,U00122,2024-11-15,Purchase,30,13
A000520,U00122,2024-12-19,Feature Use,5,19
A000521,U00122,2025-01-19,Cart,53,15
A000522,U00123,2024-11-16,Login,7,9
A000523,U00123,2024-12-17,Cart,10,5
A000524,U00123,2025-01-20,Login,22,18
A000525,U00123,2025-02-18,Browse,53,7
A000526,U00123,2025-03-16,Cart,31,19
A000527,U00124,2024-05-01,Login,38,1
A000528,U00124,2024-05-29,Browse,22,17
A000529,U00124,2024-06-30,Login,19,4
A000530,U00124,2024-07-26,Feature Use,23,3
A000531,U00124,2024-08-29,Feature Use,57,2
A000532,U00124,2024-09-24,Browse,56,13
A000533,U00124,2024-10-27,Cart,16,20
A000534,U00124,2024-11-25,Cart,47,13
A000535,U00124,2024-12-26,Feature Use,38,11
A000536,U00124,2025-01-21,Cart,57,9
A000537,U00124,2025-02-25,Login,41,14
A000538,U00124,2025-03-24,Cart,45,3
A000539,U00125,2024-03-28,Feature Use,35,13
A000540,U00125,2024-04-28,Feature Use,52,14
A000541,U00125,2024-05-29,Login,12,10
A000542,U00125,2024-06-26,Cart,47,19
A000543,U00125,2024-07-27,Feature Use,10,9
A000544,U00125,2024-08-23,Feature Use,32,10
A000545,U00126,2024-07-10,Cart,21,11
A000546,U00126,2024-08-10,Purchase,47,20
A000547,U00126,2024-09-13,Browse,55,5
A000548,U00126,2024-10-08,Purchase,47,2
A000549,U00126,2024-11-10,Login,38,20
A000550,U00126,2024-12-08,Login,54,4
A000551,U00126,2025-01-06,Cart,45,5
A000552,U00126,2025-02-09,Browse,13,4
A000553,U00126,2025-03-09,Cart,6,6
A000554,U00126,2025-04-10,Feature Use,39,16
A000555,U00126,2025-05-07,Login,56,5
A000556,U00127,2024-04-04,Purchase,46,11
A000557,U00127,2024-05-03,Feature Use,2,16
A000558,U00127,2024-05-29,Feature Use,21,7
A000559,U00127,2024-06-30,Feature Use,21,15
A000560,U00128,2024-04-30,Login,22,4
A000561,U00128,2024-05-31,Login,53,5
A000562,U00128,2024-06-27,Browse,46,13
A000563,U00129,2024-06-01,Purchase,51,14
A000564,U00129,2024-06-27,Browse,36,15
A000565,U00129,2024-07-29,Login,26,1
A000566,U00129,2024-08-26,Cart,7,6
A000567,U00129,2024-09-28,Browse,32,8
A000568,U00129,2024-10-28,Feature Use,38,14
A000569,U00129,2024-11-27,Feature Use,54,17
A000570,U00129,2024-12-25,Feature Use,51,19
A000571,U00129,2025-01-23,Browse,24,4
A000572,U00129,2025-02-21,Feature Use,20,15
A000573,U00129,2025-03-25,Browse,44,20
A000574,U00129,2025-04-26,Purchase,31,15
A000575,U00130,2024-12-20,Browse,47,7
A000576,U00130,2025-01-18,Login,23,7
A000577,U00130,2025-02-17,Purchase,10,16
A000578,U00130,2025-03-22,Login,7,8
A000579,U00130,2025-04-21,Feature Use,40,3
A000580,U00130,2025-05-19,Browse,33,4
A000581,U00131,2024-07-17,Cart,43,3
A000582,U00131,2024-08-13,Browse,9,5
A000583,U00131,2024-09-15,Browse,15,20
A000584,U00131,2024-10-12,Feature Use,4,14
A000585,U00131,2024-11-14,Feature Use,45,19
A000586,U00132,2024-05-24,Cart,24,9
A000587,U00132,2024-06-19,Feature Use,22,18
A000588,U00132,2024-07-20,Cart,43,11
A000589,U00132,2024-08-23,Purchase,20,14
A000590,U00132,2024-09-21,Purchase,41,3
A000591,U00132,2024-10-21,Cart,3,12
A000592,U00133,2024-11-07,Purchase,40,19
A000593,U00133,2024-12-07,Browse,15,1
A000594,U00133,2025-01-05,Cart,43,10
A000595,U00134,2024-11-18,Purchase,8,13
A000596,U00134,2024-12-22,Feature Use,41,15
