transaction_id,user_id,transaction_date,order_value,product_category,product_name,quantity,discount,payment_method,transaction_status,refund_date
T000056,U00011,2024-03-19,76.59,Subscription,Analytics Add-on,1,20,Card,Completed,
T000057,U00012,2024-12-08,182.65,Software,Analytics Add-on,3,10,UPI,Completed,
T000058,U00015,2024-07-17,39.21,Subscription,Enterprise,2,0,Net Banking,Refunded,2024-07-21
T000059,U00015,2024-07-14,0.0,Course,Enterprise,3,20,PayPal,Failed,
T000060,U00016,2024-11-29,482.53,Subscription,Pro,3,15,Card,Completed,
T000061,U00016,2024-11-29,143.96,Course,Starter,1,10,PayPal,Refunded,2024-12-04
T000062,U00016,2024-12-28,65.07,Subscription,Enterprise,3,0,Card,Completed,
T000063,U00016,2024-12-27,273.06,Accessories,Starter,3,20,UPI,Completed,
T000064,U00016,2025-02-24,312.65,Course,Pro,2,5,PayPal,Completed,
T000065,U00016,2025-04-29,319.35,Course,Enterprise,1,20,Card,Completed,
T000066,U00016,2025-04-28,299.34,Accessories,Starter,3,10,PayPal,Completed,
T000067,U00017,2024-09-16,249.79,Software,Pro,1,20,PayPal,Completed,
T000068,U00017,2024-09-14,412.17,Accessories,Analytics Add-on,1,20,Net Banking,Completed,
T000069,U00017,2024-10-18,317.15,Course,Enterprise,2,10,UPI,Completed,
T000070,U00017,2025-01-16,453.51,Accessories,Pro,2,15,UPI,Completed,
T000071,U00017,2025-01-17,231.6,Subscription,Starter,2,20,Card,Completed,
T000072,U00017,2025-03-17,125.14,Accessories,Enterprise,2,20,Net Banking,Refunded,2025-03-21
T000073,U00017,2025-03-17,204.62,Accessories,Enterprise,3,20,PayPal,Completed,
T000074,U00017,2025-05-19,365.25,Software,Enterprise,1,15,PayPal,Completed,
T000075,U00019,2024-02-29,486.14,Subscription,Pro,1,10,PayPal,Completed,
T000076,U00019,2024-02-29,284.32,Subscription,Starter,3,0,UPI,Completed,
T000077,U00019,2024-04-01,281.3,Course,Analytics Add-on,3,0,Net Banking,Completed,
T000078,U00019,2024-04-04,372.98,Software,Starter,3,20,Card,Refunded,2024-04-08
T000079,U00019,2024-05-30,213.33,Subscription,Enterprise,2,20,Net Banking,Completed,
T000080,U00019,2024-05-28,312.7,Accessories,Pro,1,0,Net Banking,Completed,
T000081,U00019,2024-08-01,421.92,Accessories,Pro,3,15,PayPal,Completed,
T000082,,2024-09-24,300.02,Accessories,Enterprise,2,0,UPI,Completed,
T000083,U00019,2024-10-28,442.5,Course,Pro,2,0,Net Banking,Completed,
T000084,U00019,2024-10-28,195.92,Accessories,Analytics Add-on,1,0,UPI,Completed,
T000085,U00019,2025-01-25,363.68,Course,Starter,1,5,Net Banking,Completed,
T000086,,2025-01-26,349.7,Subscription,Analytics Add-on,1,15,Net Banking,Completed,
T000087,U00020,2024-09-06,470.37,Accessories,Pro,1,5,PayPal,Completed,
T000088,U00020,2024-10-06,438.78,Accessories,Starter,1,5,Net Banking,Completed,
T000089,U00020,2024-10-08,0.0,Course,Enterprise,2,15,Net Banking,Failed,
T000090,U00021,2024-09-30,293.03,Course,Enterprise,3,5,PayPal,Completed,
T000091,U00021,2024-11-03,50.2,Subscription,Enterprise,3,0,PayPal,Completed,
T000092,U00021,2024-11-03,479.23,Accessories,Enterprise,2,5,UPI,Completed,
T000093,U00022,2024-08-19,293.42,Software,Enterprise,2,20,Net Banking,Completed,
T000094,U00022,2024-10-13,238.03,Software,Analytics Add-on,2,5,Card,Completed,
T000095,U00022,2024-10-16,268.73,Course,Pro,2,20,Card,Completed,
T000096,U00022,2024-11-14,455.7,Subscription,Pro,1,10,Net Banking,Refunded,2024-11-21
T000097,U00022,2024-12-16,191.51,Software,Starter,3,20,UPI,Completed,
T000098,U00022,2024-12-14,213.99,Software,Enterprise,3,0,Card,Refunded,2024-12-21
T000099,U00022,2025-01-10,226.67,Software,Enterprise,2,15,UPI,Completed,
T000100,U00022,2025-03-16,357.16,Accessories,Starter,1,10,Card,Completed,
T000101,U00023,2024-11-02,146.88,Software,Starter,1,10,PayPal,Completed,
T000102,U00024,2024-02-09,110.06,Accessories,Analytics Add-on,2,0,UPI,Completed,
T000103,U00024,2024-02-09,21.32,Subscription,Pro,2,10,Net Banking,Completed,
T000104,U00025,2024-10-06,158.69,Subscription,Pro,2,20,PayPal,Completed,
T000105,U00026,2024-04-10,453.24,Subscription,Pro,2,20,PayPal,Completed,
T000106,U00026,2024-05-13,0.0,Course,Starter,1,10,Card,Failed,
T000107,U00026,2024-05-13,42.08,Software,Pro,2,10,Net Banking,Completed,
T000108,U00027,2024-12-14,0.0,Accessories,Analytics Add-on,2,10,UPI,Failed,
T000109,U00027,2025-01-13,0.0,Accessories,Analytics Add-on,3,0,Net Banking,Failed,
T000110,U00027,2025-01-12,204.74,Course,Pro,3,15,PayPal,Completed,
T000111,U00027,2025-02-11,0.0,Course,Enterprise,2,10,Card,Failed,
T000112,U00028,2024-05-08,499.57,Course,Pro,2,10,UPI,Completed,
T000113,U00028,2024-07-11,346.05,Accessories,Analytics Add-on,3,5,Card,Completed,
T000114,U00028,2024-08-07,353.56,Course,Starter,2,20,Card,Completed,
T000115,U00028,2024-08-10,29.54,Subscription,Pro,2,0,UPI,Completed,
T000116,U00028,2024-09-09,0.0,Subscription,Pro,1,20,PayPal,Failed,
T000117,U00028,2024-09-10,448.61,Subscription,Starter,1,15,Net Banking,Completed,
T000118,U00028,2024-10-08,424.26,Subscription,Pro,3,0,Net Banking,Completed,
T000119,U00028,2024-12-09,125.89,Accessories,Analytics Add-on,3,5,UPI,Completed,
T000120,U00028,2024-12-08,267.29,Subscription,Starter,3,10,Net Banking,Refunded,2024-12-14
T000121,U00028,2025-02-04,59.13,Subscription,Enterprise,3,5,Net Banking,Completed,
T000122,U00029,2024-08-29,334.44,Accessories,Starter,2,15,UPI,Refunded,2024-09-05
T000123,U00029,2024-08-29,463.72,Accessories,Analytics Add-on,1,15,UPI,Refunded,2024-09-05
T000124,U00029,2024-09-24,489.04,Accessories,Starter,2,20,Card,Completed,
T000125,U00030,2024-05-05,411.21,Software,Starter,2,20,Net Banking,Completed,
T000126,U00030,2024-05-05,293.23,Accessories,Starter,1,15,Net Banking,Completed,
T000127,U00030,2024-07-08,464.86,Subscription,Pro,3,0,Card,Completed,
T000128,U00030,2024-07-06,469.96,Accessories,Starter,3,15,PayPal,Completed,
T000129,U00031,2024-08-18,424.32,Software,Starter,3,5,PayPal,Refunded,2024-08-24
T000130,U00031,2024-08-18,33.29,Course,Starter,3,5,UPI,Completed,
T000131,U00031,2024-12-17,441.85,Software,Starter,3,0,PayPal,Completed,
T000132,U00032,2024-04-13,83.61,Subscription,Analytics Add-on,1,15,PayPal,Completed,
T000133,U00032,2024-04-12,276.43,Accessories,Pro,2,20,UPI,Completed,
T000134,U00032,2024-05-15,53.65,Course,Starter,2,0,Net Banking,Completed,
T000135,U00032,2024-05-13,231.69,Accessories,Enterprise,1,15,Net Banking,Completed,
T000136,U00032,2024-06-14,398.98,Course,Starter,1,5,PayPal,Completed,
T000137,U00032,2024-06-11,203.77,Software,Enterprise,3,5,Net Banking,Completed,
T000138,U00032,2024-07-11,37.73,Course,Analytics Add-on,3,5,Net Banking,Completed,
T000139,U00032,2024-08-08,78.92,Subscription,Analytics Add-on,1,10,UPI,Completed,
T000140,U00032,2024-08-06,307.15,Accessories,Pro,2,5,Card,Refunded,2024-08-13
T000141,U00032,2024-09-07,340.08,Subscription,Starter,3,20,Net Banking,Completed,
T000142,U00032,2024-10-11,344.14,Accessories,Enterprise,3,0,Card,Completed,
T000143,U00032,2024-10-09,460.02,Course,Pro,2,10,UPI,Completed,
T000144,U00032,2024-11-03,241.9,Accessories,Analytics Add-on,2,15,PayPal,Completed,
T000145,U00033,2024-11-01,275.52,Software,Analytics Add-on,2,20,Card,Completed,
T000146,U00033,2024-11-30,0.0,Course,Starter,3,20,UPI,Failed,
T000147,U00033,2024-11-30,435.5,Course,Pro,1,10,PayPal,Completed,
T000148,U00034,2024-02-11,253.74,Accessories,Pro,1,20,UPI,Completed,
T000149,U00034,2024-02-08,0.0,Software,Pro,1,5,PayPal,Failed,
T000150,U00036,2024-12-12,212.48,Course,Analytics Add-on,3,15,Card,Completed,
T000151,U00037,2024-06-16,359.51,Course,Starter,3,20,UPI,Completed,
T000152,U00037,2024-07-11,318.34,Subscription,Pro,3,10,UPI,Refunded,2024-07-17
T000153,U00037,2024-07-12,110.84,Course,Pro,2,10,Card,Completed,
T000154,U00037,2024-08-11,37.32,Subscription,Enterprise,1,5,Card,Completed,
T000155,U00037,2024-10-09,104.9,Subscription,Enterprise,2,10,Net Banking,Refunded,2024-10-16
T000156,U00037,2024-10-11,342.3,Software,Pro,1,5,Net Banking,Completed,
T000157,U00037,2024-11-10,35.42,Subscription,Pro,3,5,PayPal,Completed,
T000158,U00038,2024-10-18,347.66,Subscription,Analytics Add-on,3,0,UPI,Completed,
T000159,U00038,2024-11-17,336.87,Course,Starter,1,5,UPI,Completed,
T000160,U00038,2024-11-18,96.15,Subscription,Analytics Add-on,3,10,Card,Completed,
T000161,U00038,2024-12-16,361.54,Accessories,Pro,1,0,Card,Completed,
T000162,U00039,2024-08-13,0.0,Software,Starter,1,20,Net Banking,Failed,
T000163,U00039,2024-08-12,180.44,Subscription,Pro,2,10,PayPal,Completed,
T000164,U00039,2024-10-17,344.43,Subscription,Starter,3,15,Card,Completed,
T000165,U00039,2024-10-17,165.25,Software,Enterprise,3,5,UPI,Completed,
T000166,U00039,2024-12-16,399.39,Course,Pro,2,15,Net Banking,Completed,
T000167,U00039,2025-01-09,148.12,Software,Starter,1,10,UPI,Completed,
T000168,U00039,2025-01-09,67.01,Subscription,Starter,3,15,Card,Completed,
T000169,U00039,2025-02-14,25.29,Course,Starter,3,0,PayPal,Completed,
T000170,U00039,2025-03-12,55.9,Accessories,Enterprise,1,20,Card,Completed,
T000171,U00039,2025-04-11,135.68,Course,Pro,2,20,Card,Completed,
T000172,U00039,2025-05-16,363.68,Software,Starter,2,5,UPI,Completed,
T000173,U00040,2024-03-13,76.88,Course,Pro,1,20,PayPal,Completed,
T000174,U00040,2024-03-12,147.85,Course,Enterprise,2,15,UPI,Refunded,2024-03-19
T000175,U00040,2024-05-14,86.72,Software,Starter,3,10,PayPal,Refunded,2024-05-18
T000176,U00040,2024-05-14,221.0,Subscription,Analytics Add-on,3,5,Net Banking,Refunded,2024-05-18
T000177,U00041,2024-04-17,0.0,Accessories,Enterprise,3,20,Card,Failed,
T000178,U00041,2024-04-17,334.86,Accessories,Enterprise,3,10,Card,Completed,
T000179,U00041,2024-07-20,52.01,Subscription,Enterprise,1,15,PayPal,Refunded,2024-07-25
T000180,U00043,2024-10-13,461.7,Software,Starter,3,10,Net Banking,Completed,
T000181,U00044,2024-08-11,484.58,Software,Enterprise,2,0,Card,Completed,
T000182,U00044,2024-10-09,64.9,Subscription,Starter,1,15,Card,Completed,
T000183,U00045,2024-01-24,41.43,Subscription,Starter,2,5,UPI,Completed,
T000184,U00045,2024-01-21,379.26,Course,Enterprise,3,10,Net Banking,Completed,
T000185,U00045,2024-02-25,477.43,Course,Pro,2,5,Net Banking,Refunded,2024-03-03
T000186,U00045,2024-02-25,339.55,Subscription,Starter,2,5,Net Banking,Completed,
T000187,U00046,2024-05-31,392.49,Accessories,Pro,2,0,Net Banking,Completed,
T000188,U00047,2024-12-10,264.22,Course,Enterprise,1,5,Card,Completed,
T000189,U00047,2025-01-13,89.19,Accessories,Analytics Add-on,3,0,UPI,Completed,
T000190,U00047,2025-02-09,96.56,Course,Pro,2,20,PayPal,Completed,
T000191,U00047,2025-02-07,263.31,Software,Pro,1,0,PayPal,Completed,
T000192,U00048,2024-09-04,210.39,Subscription,Analytics Add-on,1,5,UPI,Refunded,2024-09-09
T000193,U00048,2024-09-03,236.74,Software,Enterprise,2,10,Card,Completed,
T000194,U00048,2024-10-04,327.44,Software,Enterprise,3,0,UPI,Completed,
T000195,U00050,2024-12-21,173.56,Subscription,Starter,1,10,UPI,Completed,
T000196,U00050,2024-12-20,130.91,Accessories,Starter,3,10,Net Banking,Completed,
T000197,U00051,2024-03-01,413.55,Course,Starter,2,20,Card,Completed,
T000198,U00052,2024-10-30,172.89,Software,Analytics Add-on,1,5,UPI,Completed,
T000199,U00052,2024-10-29,377.29,Software,Pro,2,15,UPI,Completed,
T000200,U00052,2025-02-22,147.98,Course,Pro,1,20,Net Banking,Completed,
T000201,U00052,2025-04-23,491.94,Accessories,Pro,2,20,PayPal,Completed,
T000202,U00052,2025-04-26,441.35,Accessories,Enterprise,2,5,Card,Completed,
T000203,U00053,2024-08-13,364.9,Software,Starter,1,5,Net Banking,Completed,
T000204,U00053,2024-08-13,413.2,Subscription,Enterprise,3,5,Card,Refunded,2024-08-18
T000205,U00054,2024-10-21,397.0,Subscription,Pro,2,20,PayPal,Completed,
T000206,U00055,2024-04-13,468.32,Software,Enterprise,1,0,PayPal,Refunded,2024-04-18
T000207,U00055,2024-05-13,244.69,Accessories,Enterprise,3,0,Net Banking,Refunded,2024-05-17
T000208,U00055,2024-05-13,0.0,Course,Starter,2,5,UPI,Failed,
T000209,U00055,2024-08-13,424.39,Software,Enterprise,3,15,UPI,Completed,
T000210,U00055,2024-10-09,299.62,Subscription,Pro,3,5,Card,Completed,
T000211,U00055,2024-10-09,484.5,Course,Starter,3,15,UPI,Completed,
T000212,U00055,2024-11-09,62.31,Course,Enterprise,2,0,Net Banking,Completed,
T000213,U00056,2024-10-12,393.54,Software,Starter,3,5,PayPal,Completed,
T000214,U00056,2024-10-12,342.55,Software,Pro,3,5,Card,Completed,
T000215,U00056,2024-11-06,206.83,Course,Analytics Add-on,3,15,UPI,Refunded,2024-11-13
T000216,U00056,2024-11-08,298.8,Software,Pro,3,5,PayPal,Refunded,2024-11-13
T000217,U00056,2024-12-07,153.77,Course,Enterprise,2,5,Card,Refunded,2024-12-14
T000218,U00056,2024-12-08,443.52,Software,Analytics Add-on,3,15,PayPal,Completed,
T000219,U00056,2025-01-06,463.07,Subscription,Enterprise,1,5,Card,Completed,
T000220,U00056,2025-01-06,253.97,Accessories,Pro,2,5,Card,Completed,
T000221,U00056,2025-02-04,147.86,Course,Enterprise,1,10,UPI,Completed,
T000222,U00056,2025-03-06,122.64,Subscription,Pro,3,15,Card,Completed,
T000223,U00057,2024-08-19,44.12,Subscription,Pro,3,0,Net Banking,Completed,
T000224,U00057,2024-09-16,293.1,Software,Starter,3,20,UPI,Completed,
T000225,U00057,2024-09-15,107.18,Subscription,Analytics Add-on,2,0,Net Banking,Completed,
T000226,U00057,2024-11-14,0.0,Course,Pro,2,10,UPI,Failed,
T000227,U00057,2024-11-16,248.0,Subscription,Analytics Add-on,3,20,UPI,Completed,
T000228,U00057,2025-01-16,167.94,Course,Analytics Add-on,2,15,PayPal,Refunded,2025-01-22
T000229,U00057,2025-01-18,429.27,Accessories,Pro,2,10,Card,Completed,
T000230,U00057,2025-02-15,105.56,Course,Pro,1,15,PayPal,Completed,
T000231,U00057,2025-02-17,52.77,Accessories,Starter,2,15,PayPal,Completed,
T000232,U00057,2025-03-16,221.32,Course,Starter,3,0,Net Banking,Completed,
T000233,U00057,2025-03-13,266.19,Subscription,Analytics Add-on,1,5,UPI,Completed,
T000234,U00057,2025-04-18,344.77,Accessories,Pro,2,5,Card,Completed,
T000235,U00057,2025-04-16,430.88,Subscription,Starter,3,0,Card,Completed,
T000236,U00057,2025-05-12,420.6,Accessories,Enterprise,2,10,Card,Refunded,2025-05-19
T000237,U00057,2025-06-16,105.62,Software,Starter,2,15,PayPal,Completed,
T000238,U00057,2025-06-13,314.84,Software,Starter,3,20,Card,Completed,
T000239,U00057,2025-07-13,293.43,Software,Pro,3,0,PayPal,Completed,
T000240,U00057,2025-07-14,0.0,Course,Starter,1,0,PayPal,Failed,
T000241,U00058,2024-09-20,0.0,Software,Analytics Add-on,1,10,PayPal,Failed,
T000242,U00058,2024-09-23,317.73,Subscription,Starter,3,15,Net Banking,Completed,
T000243,U00058,2024-10-26,104.75,Accessories,Analytics Add-on,3,10,PayPal,Completed,
T000244,U00058,2024-11-23,417.11,Software,Analytics Add-on,3,5,Card,Completed,
T000245,U00058,2024-11-21,235.85,Software,Pro,1,10,Card,Completed,
T000246,U00058,2024-12-21,106.25,Course,Starter,1,20,PayPal,Completed,
T000247,U00058,2025-02-23,55.71,Subscription,Pro,1,0,Card,Completed,
T000248,U00058,2025-03-27,189.61,Course,Starter,1,0,Card,Completed,
T000249,U00058,2025-03-24,424.29,Subscription,Pro,2,20,Card,Completed,
T000250,U00058,2025-05-20,402.12,Subscription,Starter,3,10,PayPal,Completed,
T000251,U00059,2024-04-13,403.58,Accessories,Enterprise,3,5,UPI,Completed,
T000252,U00059,2024-05-16,478.4,Subscription,Pro,1,20,Card,Completed,
T000253,U00059,2024-06-15,20.95,Course,Pro,2,15,Net Banking,Completed,
T000254,U00059,2024-06-13,0.0,Software,Analytics Add-on,3,5,PayPal,Failed,
T000255,U00059,2024-07-15,306.96,Course,Starter,1,15,UPI,Refunded,2024-07-20
T000256,U00059,2024-07-13,0.0,Accessories,Analytics Add-on,1,15,PayPal,Failed,
T000257,U00059,2024-08-10,407.49,Software,Analytics Add-on,3,10,Card,Completed,
T000258,U00059,2024-08-10,56.6,Accessories,Starter,3,0,UPI,Completed,
T000259,U00059,2024-09-12,446.13,Accessories,Pro,3,15,PayPal,Completed,
T000260,U00059,2024-10-12,385.69,Accessories,Pro,2,0,Card,Refunded,2024-10-19
T000261,U00059,2024-10-12,337.19,Accessories,Analytics Add-on,3,10,UPI,Completed,
T000262,U00059,2024-11-08,30.91,Software,Starter,2,15,Card,Completed,
T000263,U00060,2024-08-06,159.44,Software,Enterprise,3,10,UPI,Completed,
T000264,U00060,2024-08-06,186.7,Software,Enterprise,3,10,Net Banking,Completed,
T000265,U00060,2024-09-30,299.65,Course,Enterprise,1,10,Card,Completed,
T000266,U00060,2024-09-30,269.36,Course,Enterprise,1,20,UPI,Completed,
T000267,U00061,2024-12-04,195.97,Course,Enterprise,2,20,PayPal,Completed,
T000268,U00061,2024-12-05,227.12,Course,Starter,1,5,UPI,Completed,
T000269,U00062,2024-10-19,392.15,Subscription,Starter,3,20,UPI,Completed,
T000270,U00062,2024-11-17,81.33,Accessories,Enterprise,1,0,UPI,Completed,
T000271,U00062,2025-02-13,216.7,Subscription,Analytics Add-on,3,15,Net Banking,Completed,
T000272,U00062,2025-02-10,496.47,Course,Pro,3,0,UPI,Completed,
T000273,U00062,2025-03-15,457.9,Software,Enterprise,2,20,Card,Completed,
T000274,U00063,2024-11-14,448.09,Course,Pro,3,0,Card,Completed,
T000275,U00063,2024-12-09,41.49,Accessories,Pro,2,0,PayPal,Completed,
T000276,U00063,2024-12-09,479.5,Course,Starter,3,10,PayPal,Completed,
T000277,U00064,2024-05-14,92.74,Software,Enterprise,3,10,Net Banking,Completed,
T000278,U00064,2024-05-16,354.28,Subscription,Pro,2,20,Card,Completed,
T000279,U00064,2024-07-11,0.0,Subscription,Pro,1,10,UPI,Failed,
T000280,U00064,2024-08-17,0.0,Course,Starter,2,20,Card,Failed,
T000281,U00064,2024-09-10,191.67,Accessories,Starter,3,0,UPI,Completed,
T000282,U00064,2024-09-12,31.06,Course,Enterprise,2,0,Card,Completed,
T000283,U00064,2024-11-14,417.72,Accessories,Analytics Add-on,1,0,Net Banking,Completed,
T000284,U00064,2024-12-11,490.71,Accessories,Analytics Add-on,1,15,Net Banking,Completed,
T000285,U00064,2024-12-13,395.71,Subscription,Starter,1,10,UPI,Completed,
T000286,U00064,2025-01-12,351.21,Software,Enterprise,2,5,PayPal,Refunded,2025-01-18
T000287,,2025-02-11,336.91,Software,Starter,2,15,Card,Completed,
T000288,U00064,2025-02-11,191.74,Accessories,Enterprise,1,15,Net Banking,Completed,
T000289,U00064,2025-03-16,0.0,Software,Starter,2,20,UPI,Failed,
T000290,U00064,2025-03-13,465.23,Course,Starter,1,15,Net Banking,Completed,
T000291,U00064,2025-04-09,284.78,Accessories,Starter,1,0,PayPal,Completed,
T000292,U00065,2024-09-19,0.0,Course,Analytics Add-on,1,20,PayPal,Failed,
T000293,U00065,2024-09-17,0.0,Software,Pro,1,5,UPI,Failed,
T000294,U00065,2024-10-13,44.69,Accessories,Pro,3,10,PayPal,Completed,
T000295,U00065,2024-10-14,320.7,Software,Analytics Add-on,3,10,Net Banking,Completed,
T000296,U00066,2024-03-14,342.67,Subscription,Analytics Add-on,2,15,Card,Completed,
T000297,U00066,2024-03-14,120.45,Accessories,Enterprise,3,10,PayPal,Completed,
T000298,U00066,2024-04-14,254.86,Software,Enterprise,3,5,UPI,Completed,
T000299,U00066,2024-04-17,300.5,Software,Analytics Add-on,1,0,Card,Completed,
T000300,U00067,2024-08-06,105.22,Accessories,Pro,3,10,Net Banking,Completed,
T000301,U00067,2024-08-05,130.25,Software,Analytics Add-on,3,0,Card,Refunded,2024-08-12
T000302,U00067,2024-09-03,267.29,Accessories,Analytics Add-on,1,20,UPI,Completed,
T000303,U00067,2024-09-04,182.88,Subscription,Starter,2,5,Card,Completed,
T000304,U00068,2024-08-24,190.2,Software,Enterprise,3,15,Card,Completed,
T000305,U00068,2024-08-22,403.97,Subscription,Starter,2,15,Net Banking,Completed,
T000306,U00068,2024-09-19,23.87,Software,Analytics Add-on,1,0,Card,Completed,
T000307,U00068,2024-09-16,0.0,Accessories,Pro,1,0,Net Banking,Failed,
T000308,U00068,2024-10-18,214.34,Course,Enterprise,2,20,PayPal,Completed,
T000309,U00068,2024-10-19,68.51,Accessories,Enterprise,2,0,PayPal,Completed,
T000310,U00068,2024-11-17,444.21,Subscription,Pro,1,10,Card,Completed,
T000311,U00068,2024-12-19,127.53,Course,Pro,1,0,Card,Completed,
T000312,U00068,2024-12-19,312.67,Course,Analytics Add-on,2,20,Card,Completed,
T000313,U00068,2025-01-19,328.31,Subscription,Starter,2,5,PayPal,Completed,
T000314,U00068,2025-01-18,61.03,Subscription,Pro,2,0,Net Banking,Completed,
T000315,U00068,2025-03-19,0.0,Subscription,Starter,1,10,PayPal,Failed,
T000316,U00068,2025-05-17,476.38,Accessories,Starter,3,10,PayPal,Completed,
T000317,U00068,2025-05-19,237.35,Accessories,Pro,3,0,Card,Completed,
T000318,U00069,2024-08-22,141.96,Software,Enterprise,2,10,UPI,Completed,
T000319,U00069,2024-08-19,0.0,Software,Enterprise,1,20,Card,Failed,
T000320,,2024-09-21,0.0,Accessories,Analytics Add-on,1,5,UPI,Failed,
T000321,U00071,2024-03-11,489.63,Software,Enterprise,1,10,PayPal,Completed,
T000322,U00071,2024-04-11,112.25,Accessories,Starter,1,20,Card,Completed,
T000323,U00071,2024-09-10,224.95,Accessories,Pro,2,15,Card,Refunded,2024-09-14
T000324,U00071,2024-10-05,287.39,Subscription,Enterprise,3,20,Net Banking,Completed,
T000325,U00071,2024-12-04,85.26,Course,Starter,3,10,UPI,Completed,
T000326,U00071,2025-01-04,240.1,Course,Enterprise,3,10,UPI,Completed,
