user_id,signup_date,acquisition_channel,campaign,country,city,device,subscription_plan,gender,age_group
U00031,2024-07-13,LinkedIn,CMP109,India,Coimbatore,Desktop,Basic,Female,25-34
U00032,2024-04-07,Google Ads,CMP102,UK,London,Tablet,Basic,Male,18-24
U00033,2024-10-26,Referral,CMP117,Germany,Berlin,Mobile,Premium,Male,25-34
U00034,2024-02-05,Organic,CMP108,Canada,Vancouver,Mobile,Premium,Male,18-24
U00035,2024-11-13,LinkedIn,CMP119,India,Bengaluru,Tablet,Basic,Female,25-34
U00036,2024-12-08,Facebook,CMP108,Australia,Melbourne,Desktop,Free,Female,45-54
U00037,2024-06-10,Organic,CMP115,India,Bengaluru,Tablet,Free,Male,25-34
U00038,2024-09-16,Google Ads,CMP112,UK,London,Mobile,Basic,Female,25-34
U00039,2024-08-12,Black Friday,CMP110,Canada,Toronto,Tablet,Premium,Female,18-24
U00040,2024-03-09,Organic,CMP104,UK,London,Desktop,Basic,Male,35-44
U00041,2024-04-14,Black Friday,CMP109,Australia,Melbourne,Desktop,Free,Male,45-54
U00042,2024-05-21,Organic,CMP111,India,Chennai,Tablet,Basic,Male,45-54
U00043,2024-10-09,LinkedIn,CMP118,Australia,Sydney,Mobile,Free,Male,18-24
U00044,2024-07-08,Referral,CMP105,Canada,Vancouver,Mobile,Free,Female,35-44
U00045,2024-01-21,Google Ads,CMP108,UK,London,Desktop,Premium,Female,25-34
U00046,2024-05-01,Google Ads,CMP114,USA,New York,Mobile,Premium,Female,45-54
U00047,2024-12-08,Google Ads,CMP109,Australia,Sydney,Tablet,Free,Female,18-24
U00048,2024-08-28,Google Ads,CMP115,USA,Austin,Desktop,Free,Male,18-24
U00049,2024-12-03,LinkedIn,CMP111,USA,Austin,Mobile,Basic,Female,45-54
U00050,2024-12-13,Facebook,CMP101,Canada,Toronto,Desktop,Free,Female,18-24
U00051,2024-02-25,LinkedIn,CMP112,Canada,Vancouver,Desktop,Premium,Male,45-54
U00052,2024-10-22,Facebook,CMP102,USA,Seattle,Desktop,Free,Male,35-44
U00053,2024-08-08,Black Friday,CMP111,India,Bengaluru,Desktop,Premium,Male,35-44
U00054,2024-09-16,Black Friday,CMP114,UK,Manchester,Desktop,Premium,Female,25-34
U00055,2024-04-08,Black Friday,CMP113,Germany,Berlin,Tablet,Premium,Female,45-54
U00056,2024-10-07,Facebook,CMP110,India,Chennai,Desktop,Premium,Female,45-54
U00057,2024-08-14,Black Friday,CMP107,Germany,Munich,Tablet,Free,Male,35-44
U00058,2024-09-20,Black Friday,CMP120,Australia,Melbourne,Mobile,Free,Female,25-34
U00059,2024-04-11,Organic,CMP102,USA,New York,Desktop,Premium,Male,45-54
U00060,2024-07-31,Referral,CMP107,Australia,Melbourne,Desktop,Basic,Male,25-34
U00061,2024-12-01,Organic,CMP104,Australia,Melbourne,Mobile,Free,Female,18-24
U00062,2024-10-12,Organic,CMP115,USA,New York,Desktop,Premium,Female,45-54
U00063,2024-11-09,Referral,CMP114,Australia,Melbourne,Mobile,Premium,Female,45-54
U00064,2024-05-12,Black Friday,CMP109,USA,Seattle,Desktop,Premium,Male,35-44
U00065,2024-08-13,Black Friday,CMP110,India,Chennai,Desktop,Basic,Female,18-24
U00066,2024-03-11,Google Ads,CMP113,USA,Seattle,Mobile,Premium,Male,18-24
U00067,2024-07-31,Facebook,CMP118,Germany,Munich,Desktop,Free,Male,45-54
U00068,2024-07-18,Black Friday,CMP101,Canada,Vancouver,Desktop,Free,Female,35-44
U00069,2024-07-18,Referral,CMP118,Germany,Berlin,Desktop,Free,Female,45-54
U00070,2024-09-05,LinkedIn,CMP111,India,Bengaluru,Tablet,Basic,Male,45-54
U00071,2024-03-06,Referral,CMP101,Canada,Vancouver,Tablet,Premium,Male,18-24
U00072,2024-11-25,Google Ads,CMP115,Germany,Berlin,Mobile,Basic,Female,35-44
U00073,2024-04-18,Facebook,CMP111,Germany,Munich,Desktop,Basic,Female,18-24
U00074,2024-08-28,Black Friday,CMP118,India,Chennai,Desktop,Free,Male,18-24
U00075,2024-01-16,Google Ads,CMP101,USA,Seattle,Mobile,Free,Male,45-54
U00076,2024-12-08,Referral,CMP107,India,Coimbatore,Tablet,Basic,Female,25-34
U00077,2024-11-06,Black Friday,CMP104,Canada,Toronto,Desktop,Free,Male,35-44
U00078,2024-10-21,LinkedIn,CMP113,Australia,Sydney,Mobile,Premium,Male,18-24
U00079,2024-12-22,Black Friday,CMP120,UK,London,Tablet,Free,Female,45-54
U00080,2024-12-04,Organic,CMP117,UK,Manchester,Mobile,Basic,Female,18-24
U00081,2024-08-09,Black Friday,CMP115,UK,London,Desktop,Free,Female,45-54
U00082,2024-08-26,Black Friday,CMP119,Germany,Munich,Desktop,Free,Male,35-44
U00083,2024-08-18,LinkedIn,CMP119,USA,Seattle,Tablet,Basic,Female,18-24
U00084,2024-09-10,Google Ads,CMP116,UK,London,Desktop,Basic,Female,35-44
U00085,2024-11-01,Facebook,CMP118,Australia,Sydney,Tablet,Free,Male,25-34
U00086,2024-07-27,Referral,CMP108,Germany,Munich,Tablet,Premium,Female,45-54
U00087,2024-01-09,Facebook,CMP108,India,Coimbatore,Tablet,Free,Female,35-44
U00088,2024-08-30,Referral,CMP112,Canada,Vancouver,Tablet,Premium,Female,35-44
U00089,2024-12-25,Facebook,CMP110,Germany,Munich,Mobile,Free,Male,35-44
U00090,2024-03-02,Referral,CMP106,Australia,Sydney,Mobile,Premium,Female,35-44
U00091,2024-10-28,Referral,CMP110,Canada,Toronto,Mobile,Basic,Male,35-44
U00092,2024-04-01,Organic,CMP118,UK,London,Desktop,Free,Male,35-44
U00093,2024-12-23,Black Friday,CMP116,USA,New York,Mobile,Premium,Female,45-54
U00094,2024-09-02,Facebook,CMP106,Germany,Berlin,Desktop,Basic,Male,18-24
U00095,2024-07-24,Organic,CMP119,Germany,Berlin,Mobile,Free,Female,18-24
U00096,2024-05-07,Referral,CMP114,India,Bengaluru,Tablet,Premium,Male,45-54
U00097,2024-08-18,Facebook,CMP119,Germany,Munich,Desktop,Premium,Male,18-24
U00098,2024-04-16,Google Ads,CMP109,Australia,Sydney,Mobile,Free,Male,18-24
U00099,2024-03-21,LinkedIn,CMP115,India,Bengaluru,Tablet,Basic,Female,18-24
U00100,2024-04-28,Black Friday,CMP110,UK,Manchester,Mobile,Premium,Male,35-44
U00101,2024-11-16,Black Friday,CMP107,Canada,Vancouver,Mobile,Premium,Male,25-34
U00102,2024-05-16,Organic,CMP102,USA,New York,Desktop,Premium,Female,45-54
U00103,2024-03-04,Black Friday,CMP110,Germany,Munich,Desktop,Premium,Female,45-54
U00104,2024-02-11,Organic,CMP114,Canada,Vancouver,Tablet,Basic,Male,18-24
U00105,2024-04-27,Referral,CMP119,Australia,Sydney,Tablet,Basic,Male,25-34
U00106,2024-08-28,Black Friday,CMP115,Canada,Vancouver,Mobile,Premium,Female,45-54
U00107,2024-02-16,Facebook,CMP114,Germany,Munich,Desktop,Premium,Male,25-34
U00108,2024-06-17,Black Friday,CMP116,Germany,Munich,Tablet,Basic,Male,45-54
U00109,2024-02-15,Facebook,CMP111,UK,London,Desktop,Premium,Male,45-54
U00110,2024-07-30,Google Ads,CMP117,India,Coimbatore,Tablet,Basic,Female,18-24
U00111,2024-04-14,Referral,CMP105,UK,Manchester,Desktop,Premium,Female,18-24
U00112,2024-01-15,Referral,CMP108,Australia,Sydney,Desktop,Premium,Male,45-54
U00113,2024-02-17,Organic,CMP115,USA,New York,Tablet,Free,Female,35-44
U00114,2024-09-17,Facebook,CMP114,Australia,Melbourne,Desktop,Free,Female,25-34
U00115,2024-07-15,Referral,CMP117,USA,Seattle,Mobile,Free,Female,45-54
U00116,2024-06-23,Facebook,CMP101,Canada,Vancouver,Tablet,Basic,Female,25-34
U00117,2024-08-16,LinkedIn,CMP112,Canada,Vancouver,Tablet,Premium,Female,45-54
U00118,2024-06-13,Black Friday,CMP108,USA,Seattle,Desktop,Free,Female,18-24
U00119,2024-06-11,LinkedIn,CMP113,Australia,Melbourne,Tablet,Premium,Male,45-54
U00120,2024-01-19,Referral,CMP119,USA,Austin,Mobile,Basic,Male,45-54
U00121,2024-01-08,Google Ads,CMP114,Australia,Sydney,Mobile,Basic,Female,35-44
U00122,2024-11-15,LinkedIn,CMP103,Australia,Melbourne,Tablet,Premium,Female,35-44
U00123,2024-11-16,LinkedIn,CMP118,Australia,Sydney,Tablet,Free,Male,35-44
U00124,2024-04-26,Organic,CMP114,Australia,Sydney,Tablet,Premium,Male,45-54
U00125,2024-03-26,Facebook,CMP101,Australia,Sydney,Desktop,Free,Female,35-44
U00126,2024-07-10,Google Ads,CMP108,Germany,Munich,Tablet,Premium,Male,25-34
U00127,2024-03-30,Referral,CMP113,India,Bengaluru,Tablet,Free,Female,25-34
U00128,2024-04-28,Black Friday,CMP109,Germany,Munich,Desktop,Premium,Male,45-54
U00129,2024-05-27,Referral,CMP106,Australia,Sydney,Desktop,Basic,Female,45-54
U00130,2024-12-19,LinkedIn,CMP110,UK,London,Desktop,Basic,Male,25-34
U00131,2024-07-14,Facebook,CMP119,Canada,Vancouver,Tablet,Basic,Male,45-54
U00132,2024-05-20,Referral,CMP102,India,Bengaluru,Tablet,Basic,Female,25-34
U00133,2024-11-06,Google Ads,CMP107,UK,Manchester,Tablet,Premium,Male,18-24
U00134,2024-11-17,Organic,CMP110,Australia,Melbourne,Mobile,Premium,Female,25-34
U00135,2024-02-16,Facebook,CMP114,UK,London,Mobile,Free,Female,35-44
U00136,2024-03-25,LinkedIn,CMP110,UK,Manchester,Mobile,Basic,Male,25-34
U00137,2024-04-25,Black Friday,CMP113,Australia,Melbourne,Mobile,Basic,Male,35-44
U00138,2024-10-01,LinkedIn,CMP112,India,Bengaluru,Tablet,Premium,Female,45-54
U00139,2024-11-22,Organic,CMP108,UK,Manchester,Mobile,Premium,Female,25-34
U00140,2024-11-27,Black Friday,CMP115,India,Bengaluru,Desktop,Premium,Female,18-24
U00141,2024-03-12,Organic,CMP110,India,Coimbatore,Mobile,Free,Male,25-34
U00142,2024-07-17,Facebook,CMP118,Germany,Munich,Tablet,Premium,Male,45-54
U00143,2024-12-01,LinkedIn,CMP120,India,Coimbatore,Desktop,Free,Female,25-34
U00144,2024-08-15,Google Ads,CMP112,Germany,Berlin,Tablet,Basic,Female,18-24
U00145,2024-07-22,Google Ads,CMP104,UK,Manchester,Mobile,Premium,Male,18-24
U00146,2024-01-26,Google Ads,CMP105,UK,London,Mobile,Premium,Male,25-34
U00147,2024-04-29,Google Ads,CMP120,UK,London,Desktop,Free,Male,35-44
U00148,2024-03-30,Black Friday,CMP101,India,Chennai,Mobile,Basic,Male,35-44
U00149,2024-01-09,Facebook,CMP102,USA,New York,Tablet,Basic,Male,18-24
U00150,2024-08-31,Facebook,CMP117,Germany,Berlin,Desktop,Premium,Male,18-24
U00151,2024-12-03,Facebook,CMP115,Canada,Toronto,Mobile,Basic,Female,45-54
U00152,2024-12-17,LinkedIn,CMP115,India,Chennai,Mobile,Basic,Male,18-24
U00153,2024-03-05,Referral,CMP119,UK,Manchester,Desktop,Premium,Female,45-54
U00154,2024-09-15,LinkedIn,CMP104,Canada,Toronto,Tablet,Premium,Male,45-54
U00155,2024-08-19,LinkedIn,CMP111,USA,Austin,Desktop,Basic,Male,35-44
U00156,2024-08-06,Black Friday,CMP109,UK,Manchester,Mobile,Premium,Female,18-24
U00157,2024-02-16,Organic,CMP114,India,Chennai,Tablet,Premium,Female,25-34
U00158,2024-10-11,Referral,CMP118,India,Bengaluru,Desktop,Premium,Male,45-54
U00159,2024-06-30,LinkedIn,CMP102,Australia,Melbourne,Tablet,Basic,Female,18-24
U00160,2024-10-22,Google Ads,CMP105,Canada,Vancouver,Mobile,Free,Female,35-44
U00161,2024-02-28,Referral,CMP108,UK,Manchester,Tablet,Premium,Male,35-44
U00162,2024-01-15,Facebook,CMP110,USA,Austin,Desktop,Free,Male,25-34
U00163,2024-10-16,LinkedIn,CMP103,Australia,Sydney,Tablet,Premium,Male,18-24
U00164,2024-09-28,LinkedIn,CMP114,USA,Austin,Desktop,Free,Female,35-44
U00165,2024-06-15,Referral,CMP103,Canada,Toronto,Mobile,Free,Male,18-24
U00166,2024-05-19,Black Friday,CMP114,Germany,Munich,Tablet,Basic,Female,35-44
U00167,2024-04-20,Organic,CMP112,Canada,Vancouver,Mobile,Basic,Female,35-44
U00168,2024-01-24,LinkedIn,CMP120,USA,New York,Mobile,Free,Female,25-34
U00169,2024-03-11,Facebook,CMP111,UK,London,Mobile,Basic,Female,25-34
U00170,2024-03-07,Referral,CMP108,Germany,Munich,Mobile,Basic,Male,45-54
U00171,2024-01-10,Organic,CMP111,Germany,Munich,Tablet,Basic,Female,35-44
U00172,2024-02-28,Organic,CMP111,Germany,Berlin,Tablet,Basic,Female,18-24
U00173,2024-08-11,Google Ads,CMP114,India,Bengaluru,Desktop,Premium,Male,45-54
U00174,2024-06-07,Facebook,CMP108,Australia,Melbourne,Mobile,Free,Male,25-34
U00175,2024-06-27,Black Friday,CMP105,UK,London,Mobile,Free,Female,25-34
U00176,2024-03-29,Google Ads,CMP103,Canada,Toronto,Tablet,Basic,Female,45-54
U00177,2024-12-14,Black Friday,CMP120,Canada,Vancouver,Tablet,Basic,Male,45-54
U00178,2024-02-04,LinkedIn,CMP110,Germany,Munich,Tablet,Free,Female,18-24
U00179,2024-06-07,LinkedIn,CMP102,Germany,Berlin,Desktop,Basic,Male,18-24
U00180,2024-11-10,Referral,CMP113,Canada,Vancouver,Tablet,Premium,Male,45-54
U00181,2024-10-19,Google Ads,CMP111,Australia,Melbourne,Tablet,Free,Male,45-54
U00182,2024-02-22,Black Friday,CMP103,UK,London,Mobile,Free,Female,45-54
U00183,2024-09-25,Referral,CMP106,Canada,Vancouver,Desktop,Basic,Female,45-54
U00184,2024-06-22,Referral,CMP102,Australia,Melbourne,Mobile,Basic,Male,45-54
U00185,2024-05-25,Black Friday,CMP120,UK,London,Desktop,Free,Male,35-44
U00186,2024-06-07,Black Friday,CMP113,Australia,Sydney,Tablet,Premium,Male,35-44
U00187,2024-10-13,Black Friday,CMP111,Germany,Berlin,Tablet,Premium,Male,45-54
U00188,2024-09-17,Organic,CMP112,UK,Manchester,Mobile,Free,Female,45-54
U00189,2024-04-08,Google Ads,CMP105,USA,New York,Desktop,Free,Male,35-44
U00190,2024-11-12,Referral,CMP113,USA,New York,Mobile,Free,Male,45-54
U00191,2024-01-23,Facebook,CMP108,Germany,Munich,Tablet,Basic,Female,25-34
U00192,2024-09-30,Facebook,CMP116,USA,New York,Desktop,Premium,Female,45-54
U00193,2024-05-24,Referral,CMP117,Germany,Munich,Mobile,Free,Male,35-44
U00194,2024-01-27,LinkedIn,CMP112,Australia,Sydney,Tablet,Premium,Male,35-44
U00195,2024-02-12,Facebook,CMP115,USA,Seattle,Mobile,Basic,Male,25-34
U00196,2024-08-18,Organic,CMP114,UK,London,Desktop,Premium,Female,25-34
U00197,2024-07-16,Facebook,CMP108,India,Chennai,Desktop,Free,Female,25-34
U00198,2024-03-11,Facebook,CMP116,India,Bengaluru,Mobile,Premium,Female,45-54
U00199,2024-11-11,Organic,CMP101,India,Coimbatore,Mobile,Free,Female,18-24
U00200,2024-05-27,Facebook,CMP104,USA,New York,Mobile,Basic,Female,18-24
U00201,2024-02-26,Referral,CMP118,Germany,Berlin,Tablet,Premium,Male,25-34
U00202,2024-05-29,Organic,CMP120,Germany,Munich,Mobile,Premium,Female,25-34
U00203,2024-12-06,Organic,CMP117,Australia,Melbourne,Mobile,Premium,Male,45-54
U00204,2024-08-28,Black Friday,CMP113,India,Coimbatore,Desktop,Premium,Male,35-44
U00205,2024-02-04,Google Ads,CMP104,UK,Manchester,Mobile,Free,Female,35-44
U00206,2024-11-25,Black Friday,CMP115,USA,Seattle,Desktop,Premium,Male,25-34
U00207,2024-02-02,LinkedIn,CMP102,Australia,Melbourne,Mobile,Free,Male,18-24
U00208,2024-06-10,Referral,CMP113,UK,Manchester,Desktop,Free,Male,35-44
U00209,2024-07-01,Black Friday,CMP111,India,Coimbatore,Mobile,Basic,Female,45-54
U00210,2024-08-13,Facebook,CMP106,Germany,Munich,Tablet,Basic,Female,35-44
U00211,2024-02-12,LinkedIn,CMP103,Australia,Melbourne,Tablet,Free,Female,35-44
U00212,2024-02-22,Facebook,CMP110,India,Coimbatore,Desktop,Premium,Female,25-34
U00213,2024-12-19,Facebook,CMP115,Germany,Berlin,Tablet,Basic,Female,35-44
U00214,2024-11-23,Organic,CMP113,India,Coimbatore,Tablet,Premium,Male,18-24
U00215,2024-03-14,Black Friday,CMP115,Canada,Toronto,Mobile,Free,Male,35-44
U00216,2024-07-04,Referral,CMP102,Germany,Berlin,Tablet,Basic,Female,35-44
U00217,2024-08-15,Referral,CMP105,India,Bengaluru,Desktop,Basic,Female,35-44
U00218,2024-05-07,Organic,CMP106,India,Coimbatore,Tablet,Basic,Male,35-44
U00219,2024-05-13,LinkedIn,CMP107,Australia,Melbourne,Tablet,Basic,Male,18-24
U00220,2024-03-10,LinkedIn,CMP106,India,Bengaluru,Desktop,Free,Female,35-44
U00221,2024-12-29,Referral,CMP118,India,Coimbatore,Desktop,Free,Male,35-44
U00222,2024-09-17,Organic,CMP107,USA,New York,Mobile,Basic,Male,35-44
U00223,2024-10-10,Facebook,CMP115,Canada,Toronto,Tablet,Free,Male,35-44
U00224,2024-07-22,Black Friday,CMP116,Australia,Melbourne,Desktop,Premium,Male,25-34
U00225,2024-06-11,Organic,CMP115,Australia,Melbourne,Tablet,Premium,Female,25-34
U00226,2024-10-09,Referral,CMP106,Australia,Sydney,Desktop,Premium,Male,18-24
U00227,2024-09-22,Facebook,CMP106,USA,New York,Desktop,Premium,Male,35-44
U00228,2024-09-22,Organic,CMP109,UK,London,Tablet,Premium,Female,25-34
U00229,2024-11-16,Referral,CMP118,UK,London,Tablet,Premium,Male,25-34
U00230,2024-03-28,Referral,CMP120,Australia,Melbourne,Tablet,Free,Male,18-24
U00231,2024-01-24,Referral,CMP109,Australia,Sydney,Tablet,Basic,Male,45-54
U00232,2024-11-17,Facebook,CMP110,Canada,Vancouver,Mobile,Premium,Female,35-44
U00233,2024-08-20,Black Friday,CMP102,India,Chennai,Desktop,Basic,Female,45-54
U00234,2024-04-14,Referral,CMP105,UK,Manchester,Tablet,Basic,Female,45-54
U00235,2024-03-07,Referral,CMP118,UK,London,Desktop,Free,Female,18-24
U00236,2024-05-16,Google Ads,CMP105,Germany,Berlin,Mobile,Basic,Female,45-54
U00237,2024-05-07,Facebook,CMP119,USA,Seattle,Desktop,Free,Male,45-54
U00238,2024-09-20,LinkedIn,CMP110,Germany,Munich,Mobile,Free,Female,45-54
U00239,2024-05-03,Referral,CMP112,USA,New York,Mobile,Basic,Female,45-54
U00240,2024-05-26,Organic,CMP104,Canada,Vancouver,Mobile,Basic,Female,45-54
U00241,2024-07-06,LinkedIn,CMP102,India,Bengaluru,Tablet,Free,Female,35-44
U00242,2024-02-07,Referral,CMP115,Germany,Munich,Tablet,Premium,Male,25-34
U00243,2024-02-19,Facebook,CMP111,Germany,Munich,Mobile,Free,Female,18-24
U00244,2024-01-24,Google Ads,CMP111,India,Coimbatore,Tablet,Basic,Male,25-34
U00245,2024-06-16,Facebook,CMP106,Canada,Vancouver,Tablet,Premium,Female,35-44
U00246,2024-09-16,Referral,CMP116,Canada,Vancouver,Desktop,Free,Female,35-44
U00247,2024-12-10,LinkedIn,CMP119,India,Coimbatore,Tablet,Premium,Male,45-54
U00248,2024-05-15,Referral,CMP119,Australia,Sydney,Tablet,Free,Female,25-34
U00249,2024-09-25,Black Friday,CMP120,Australia,Melbourne,Mobile,Premium,Male,18-24
U00250,2024-10-20,Organic,CMP107,Australia,Sydney,Desktop,Basic,Female,25-34
U00251,2024-07-30,Google Ads,CMP114,Australia,Melbourne,Tablet,Premium,Male,25-34
U00252,2024-09-22,Referral,CMP111,USA,Seattle,Desktop,Premium,Female,35-44
U00253,2024-03-29,Referral,CMP111,Germany,Munich,Tablet,Premium,Female,45-54
U00254,2024-04-08,Facebook,CMP118,USA,Austin,Mobile,Basic,Female,25-34
U00255,2024-12-19,LinkedIn,CMP111,Australia,Melbourne,Desktop,Premium,Female,35-44
U00256,2024-03-03,Black Friday,CMP118,Canada,Vancouver,Desktop,Basic,Male,35-44
U00257,2024-01-22,Black Friday,CMP103,UK,Manchester,Desktop,Premium,Female,45-54
U00258,2024-04-19,Referral,CMP109,USA,Seattle,Tablet,Basic,Male,18-24
U00259,2024-11-11,Referral,CMP108,Australia,Sydney,Mobile,Premium,Male,25-34
U00260,2024-01-27,LinkedIn,CMP111,India,Bengaluru,Desktop,Free,Male,18-24
U00261,2024-10-08,LinkedIn,CMP116,USA,Austin,Tablet,Free,Female,35-44
U00262,2024-05-26,Organic,CMP103,Australia,Sydney,Tablet,Premium,Male,25-34
U00263,2024-08-01,Organic,CMP113,USA,Austin,Mobile,Premium,Female,18-24
U00264,2024-01-05,Referral,CMP120,UK,London,Desktop,Basic,Female,45-54
U00265,2024-03-09,LinkedIn,CMP109,Canada,Toronto,Mobile,Basic,Male,45-54
U00266,2024-11-27,Black Friday,CMP106,UK,London,Tablet,Basic,Female,25-34
U00267,2024-03-30,Black Friday,CMP113,Canada,Vancouver,Tablet,Basic,Male,45-54
U00268,2024-12-08,Google Ads,CMP105,India,Coimbatore,Desktop,Free,Male,35-44
U00269,2024-07-15,LinkedIn,CMP109,USA,Austin,Desktop,Premium,Male,35-44
U00270,2024-11-30,Black Friday,CMP108,UK,London,Tablet,Free,Female,35-44
U00271,2024-03-22,Black Friday,CMP117,Germany,Munich,Tablet,Free,Female,35-44
U00272,2024-11-10,Google Ads,CMP105,USA,Austin,Mobile,Basic,Female,45-54
U00273,2024-12-25,LinkedIn,CMP118,Canada,Toronto,Mobile,Premium,Male,45-54
U00274,2024-09-27,Facebook,CMP103,Australia,Sydney,Mobile,Premium,Male,25-34
U00275,2024-03-25,Referral,CMP115,UK,London,Tablet,Free,Female,18-24
U00276,2024-09-18,Organic,CMP115,Germany,Berlin,Tablet,Basic,Female,18-24
U00277,2024-10-13,Black Friday,CMP110,Germany,Berlin,Desktop,Basic,Male,25-34
U00278,2024-10-23,Organic,CMP114,India,Coimbatore,Tablet,Free,Male,18-24
U00279,2024-08-29,Facebook,CMP114,India,Chennai,Mobile,Premium,Female,35-44
U00280,2024-07-14,LinkedIn,CMP113,Germany,Berlin,Tablet,Premium,Male,35-44
U00281,2024-03-01,Referral,CMP113,USA,Seattle,Mobile,Premium,Male,18-24
U00282,2024-01-12,LinkedIn,CMP118,UK,Manchester,Tablet,Basic,Male,25-34
U00283,2024-08-23,Google Ads,CMP109,UK,London,Tablet,Free,Male,45-54
U00284,2024-11-10,Google Ads,CMP107,India,Chennai,Mobile,Premium,Male,45-54
U00285,2024-11-02,Black Friday,CMP102,Australia,Sydney,Tablet,Free,Female,45-54
U00286,2024-04-29,Google Ads,CMP102,Canada,Toronto,Tablet,Basic,Male,35-44
U00287,2024-10-22,Black Friday,CMP111,Canada,Toronto,Desktop,Free,Male,45-54
U00288,2024-06-02,Organic,CMP118,UK,London,Tablet,Premium,Female,45-54
U00289,2024-01-25,Black Friday,CMP113,UK,Manchester,Tablet,Basic,Female,25-34
U00290,2024-06-02,Google Ads,CMP118,Germany,Munich,Mobile,Free,Female,25-34
U00291,2024-08-25,Referral,CMP114,India,Coimbatore,Tablet,Premium,Male,45-54
U00292,2024-05-04,Google Ads,CMP111,UK,London,Desktop,Basic,Male,25-34
U00293,2024-01-27,LinkedIn,CMP120,UK,London,Mobile,Free,Male,45-54
U00294,2024-04-16,Facebook,CMP101,UK,London,Mobile,Premium,Male,45-54
U00295,2024-05-04,Referral,CMP107,Australia,Melbourne,Mobile,Premium,Female,35-44
U00296,2024-07-13,Referral,CMP112,Germany,Munich,Desktop,Basic,Female,45-54
U00297,2024-02-20,LinkedIn,CMP111,Australia,Sydney,Desktop,Basic,Female,18-24
U00298,2024-10-15,Black Friday,CMP105,USA,New York,Desktop,Premium,Female,35-44
U00299,2024-03-19,Facebook,CMP108,USA,Austin,Tablet,Free,Female,35-44
U00300,2024-05-11,Black Friday,CMP116,Germany,Munich,Mobile,Premium,Female,25-34
U00301,2024-03-12,Referral,CMP116,Australia,Sydney,Tablet,Premium,Male,18-24
U00302,2024-02-08,Organic,CMP101,Australia,Melbourne,Mobile,Premium,Male,18-24
U00303,2024-12-28,Organic,CMP107,USA,Seattle,Desktop,Basic,Male,45-54
U00304,2024-12-03,Organic,CMP101,Germany,Munich,Mobile,Free,Female,35-44
U00305,2024-01-09,Black Friday,CMP114,Canada,Toronto,Mobile,Free,Male,25-34
U00306,2024-04-08,Referral,CMP109,Canada,Vancouver,Desktop,Basic,Male,35-44
U00307,2024-07-26,Referral,CMP108,Germany,Berlin,Desktop,Premium,Male,18-24
U00308,2024-02-17,LinkedIn,CMP113,Germany,Munich,Mobile,Premium,Male,25-34
