subscription_id,user_id,start_date,renewal_date,end_date,monthly_fee,status
S00046,U00046,2024-05-01,2024-05-31,2024-06-30,50,Cancelled
S00047,U00047,2024-12-08,2025-01-07,2025-04-07,0,Cancelled
S00048,U00048,2024-08-28,2024-09-27,2024-10-27,0,Cancelled
S00049,U00049,2024-12-03,2025-01-02,2025-01-02,20,Cancelled
S00050,U00050,2024-12-13,2025-01-12,2025-01-12,0,Cancelled
S00051,U00051,2024-02-25,2024-03-26,2024-03-26,50,Cancelled
S00052,U00052,2024-10-22,2024-11-21,2025-06-19,0,Cancelled
S00053,U00053,2024-08-08,2024-09-07,2024-09-07,50,Cancelled
S00054,U00054,2024-09-16,2024-10-16,2024-11-15,50,Cancelled
S00055,U00055,2024-04-08,2024-05-08,2024-12-04,50,Cancelled
S00056,U00056,2024-10-07,2024-11-06,2025-04-05,50,Cancelled
S00057,U00057,2024-08-14,2024-09-13,,0,Active
S00058,U00058,2024-09-20,2024-10-20,2025-06-17,0,Cancelled
S00059,U00059,2024-04-11,2024-05-11,2024-12-07,50,Cancelled
S00060,U00060,2024-07-31,2024-08-30,2024-10-29,20,Cancelled
S00061,U00061,2024-12-01,2024-12-31,2024-12-31,0,Cancelled
S00062,U00062,2024-10-12,2024-11-11,2025-04-10,50,Cancelled
S00063,U00063,2024-11-09,2024-12-09,2025-01-08,50,Cancelled
S00064,U00064,2024-05-12,2024-06-11,,50,Active
S00065,U00065,2024-08-13,2024-09-12,2024-11-11,20,Cancelled
S00066,U00066,2024-03-11,2024-04-10,2024-05-10,50,Cancelled
S00067,U00067,2024-07-31,2024-08-30,2024-10-29,0,Cancelled
S00068,U00068,2024-07-18,2024-08-17,2025-06-13,0,Cancelled
S00069,U00069,2024-07-18,2024-08-17,2024-12-15,0,Cancelled
S00070,U00070,2024-09-05,2024-10-05,2024-10-05,20,Cancelled
S00071,U00071,2024-03-06,2024-04-05,,50,Active
S00072,U00072,2024-11-25,2024-12-25,2025-04-24,20,Cancelled
S00073,U00073,2024-04-18,2024-05-18,2025-02-12,20,Cancelled
S00074,U00074,2024-08-28,2024-09-27,2024-10-27,0,Cancelled
S00075,U00075,2024-01-16,2024-02-15,2024-03-16,0,Cancelled
S00076,U00076,2024-12-08,2025-01-07,2025-04-07,20,Cancelled
S00077,U00077,2024-11-06,2024-12-06,2025-04-05,0,Cancelled
S00078,U00078,2024-10-21,2024-11-20,2025-03-20,50,Cancelled
S00079,U00079,2024-12-22,2025-01-21,2025-03-22,0,Cancelled
S00080,U00080,2024-12-04,2025-01-03,2025-02-02,20,Cancelled
S00081,U00081,2024-08-09,2024-09-08,,0,Active
S00082,U00082,2024-08-26,2024-09-25,2025-04-23,0,Cancelled
S00083,U00083,2024-08-18,2024-09-17,2024-10-17,20,Cancelled
S00084,U00084,2024-09-10,2024-10-10,2025-02-07,20,Cancelled
S00085,U00085,2024-11-01,2024-12-01,2024-12-31,0,Cancelled
S00086,U00086,2024-07-27,2024-08-26,2025-04-23,50,Cancelled
S00087,U00087,2024-01-09,2024-02-08,2024-03-09,0,Cancelled
S00088,U00088,2024-08-30,2024-09-29,2025-02-26,50,Cancelled
S00089,U00089,2024-12-25,2025-01-24,2025-05-24,0,Cancelled
S00090,U00090,2024-03-02,2024-04-01,2024-05-31,50,Cancelled
S00091,U00091,2024-10-28,2024-11-27,2025-05-26,20,Cancelled
S00092,U00092,2024-04-01,2024-05-01,2024-11-27,0,Cancelled
S00093,U00093,2024-12-23,2025-01-22,2025-01-22,50,Cancelled
S00094,U00094,2024-09-02,2024-10-02,2024-12-31,20,Cancelled
S00095,U00095,2024-07-24,2024-08-23,2024-08-23,0,Cancelled
S00096,U00096,2024-05-07,2024-06-06,,50,Active
S00097,U00097,2024-08-18,2024-09-17,2024-09-17,50,Cancelled
S00098,U00098,2024-04-16,2024-05-16,2024-06-15,0,Cancelled
S00099,U00099,2024-03-21,2024-04-20,2024-07-19,20,Cancelled
S00100,U00100,2024-04-28,2024-05-28,2024-06-27,50,Cancelled
S00101,U00101,2024-11-16,2024-12-16,2024-12-16,50,Cancelled
S00102,U00102,2024-05-16,2024-06-15,2024-07-15,50,Cancelled
S00103,U00103,2024-03-04,2024-04-03,2024-04-03,50,Cancelled
S00104,U00104,2024-02-11,2024-03-12,2024-09-08,20,Cancelled
S00105,U00105,2024-04-27,2024-05-27,2024-11-23,20,Cancelled
S00106,U00106,2024-08-28,2024-09-27,2024-12-26,50,Cancelled
S00107,U00107,2024-02-16,2024-03-17,2024-05-16,50,Cancelled
S00108,U00108,2024-06-17,2024-07-17,2024-10-15,20,Cancelled
S00109,U00109,2024-02-15,2024-03-16,2024-08-13,50,Cancelled
S00110,U00110,2024-07-30,2024-08-29,2024-10-28,20,Cancelled
S00111,U00111,2024-04-14,2024-05-14,2024-08-12,50,Cancelled
S00112,U00112,2024-01-15,2024-02-14,2024-04-14,50,Cancelled
S00113,U00113,2024-02-17,2024-03-18,2024-06-16,0,Cancelled
S00114,U00114,2024-09-17,2024-10-17,2025-02-14,0,Cancelled
S00115,U00115,2024-07-15,2024-08-14,2024-08-14,0,Cancelled
S00116,U00116,2024-06-23,2024-07-23,2024-07-23,20,Cancelled
S00117,U00117,2024-08-16,2024-09-15,2024-09-15,50,Cancelled
S00118,U00118,2024-06-13,2024-07-13,2025-02-08,0,Cancelled
S00119,U00119,2024-06-11,2024-07-11,2024-12-08,50,Cancelled
S00120,U00120,2024-01-19,2024-02-18,2024-03-19,20,Cancelled
S00121,U00121,2024-01-08,2024-02-07,2024-03-08,20,Cancelled
S00122,U00122,2024-11-15,2024-12-15,2025-02-13,50,Cancelled
S00123,U00123,2024-11-16,2024-12-16,2025-04-15,0,Cancelled
S00124,U00124,2024-04-26,2024-05-26,,50,Active
S00125,U00125,2024-03-26,2024-04-25,2024-09-22,0,Cancelled
S00126,U00126,2024-07-10,2024-08-09,2025-06-05,50,Cancelled
S00127,U00127,2024-03-30,2024-04-29,2024-07-28,0,Cancelled
S00128,U00128,2024-04-28,2024-05-28,2024-07-27,50,Cancelled
S00129,U00129,2024-05-27,2024-06-26,,20,Active
S00130,U00130,2024-12-19,2025-01-18,2025-06-17,20,Cancelled
S00131,U00131,2024-07-14,2024-08-13,2024-12-11,20,Cancelled
S00132,U00132,2024-05-20,2024-06-19,2024-11-16,20,Cancelled
S00133,U00133,2024-11-06,2024-12-06,2025-02-04,50,Cancelled
S00134,U00134,2024-11-17,2024-12-17,2025-04-16,50,Cancelled
S00135,U00135,2024-02-16,2024-03-17,2024-06-15,0,Cancelled
S00136,U00136,2024-03-25,2024-04-24,2025-02-18,20,Cancelled
S00137,U00137,2024-04-25,2024-05-25,,20,Active
S00138,U00138,2024-10-01,2024-10-31,2024-12-30,50,Cancelled
S00139,U00139,2024-11-22,2024-12-22,2025-09-18,50,Cancelled
S00140,U00140,2024-11-27,2024-12-27,2025-03-27,50,Cancelled
S00141,U00141,2024-03-12,2024-04-11,2024-08-09,0,Cancelled
S00142,U00142,2024-07-17,2024-08-16,2024-10-15,50,Cancelled
S00143,U00143,2024-12-01,2024-12-31,2024-12-31,0,Cancelled
S00144,U00144,2024-08-15,2024-09-14,2025-04-12,20,Cancelled
S00145,U00145,2024-07-22,2024-08-21,,50,Active
S00146,U00146,2024-01-26,2024-02-25,2024-09-22,50,Cancelled
S00147,U00147,2024-04-29,2024-05-29,2024-09-26,0,Cancelled
S00148,U00148,2024-03-30,2024-04-29,2025-02-23,20,Cancelled
S00149,U00149,2024-01-09,2024-02-08,2024-02-08,20,Cancelled
S00150,U00150,2024-08-31,2024-09-30,2025-01-28,50,Cancelled
S00151,U00151,2024-12-03,2025-01-02,2025-03-03,20,Cancelled
S00152,U00152,2024-12-17,2025-01-16,2025-06-15,20,Cancelled
S00153,U00153,2024-03-05,2024-04-04,2024-05-04,50,Cancelled
S00154,U00154,2024-09-15,2024-10-15,2024-10-15,50,Cancelled
S00155,U00155,2024-08-19,2024-09-18,2024-10-18,20,Cancelled
S00156,U00156,2024-08-06,2024-09-05,2024-10-05,50,Cancelled
S00157,U00157,2024-02-16,2024-03-17,2024-06-15,50,Cancelled
S00158,U00158,2024-10-11,2024-11-10,,50,Active
S00159,U00159,2024-06-30,2024-07-30,2024-08-29,20,Cancelled
S00160,U00160,2024-10-22,2024-11-21,2025-02-19,0,Cancelled
S00161,U00161,2024-02-28,2024-03-29,2024-08-26,50,Cancelled
S00162,U00162,2024-01-15,2024-02-14,2024-08-12,0,Cancelled
S00163,U00163,2024-10-16,2024-11-15,2025-03-15,50,Cancelled
S00164,U00164,2024-09-28,2024-10-28,2024-11-27,0,Cancelled
S00165,U00165,2024-06-15,2024-07-15,2024-09-13,0,Cancelled
S00166,U00166,2024-05-19,2024-06-18,,20,Active
S00167,U00167,2024-04-20,2024-05-20,2024-07-19,20,Cancelled
S00168,U00168,2024-01-24,2024-02-23,2024-04-23,0,Cancelled
S00169,U00169,2024-03-11,2024-04-10,2024-07-09,20,Cancelled
S00170,U00170,2024-03-07,2024-04-06,2024-06-05,20,Cancelled
S00171,U00171,2024-01-10,2024-02-09,2024-08-07,20,Cancelled
S00172,U00172,2024-02-28,2024-03-29,,20,Active
S00173,U00173,2024-08-11,2024-09-10,2025-01-08,50,Cancelled
S00174,U00174,2024-06-07,2024-07-07,2024-10-05,0,Cancelled
S00175,U00175,2024-06-27,2024-07-27,2024-08-26,0,Cancelled
S00176,U00176,2024-03-29,2024-04-28,,20,Active
S00177,U00177,2024-12-14,2025-01-13,2025-06-12,20,Cancelled
S00178,U00178,2024-02-04,2024-03-05,2024-07-03,0,Cancelled
S00179,U00179,2024-06-07,2024-07-07,2024-08-06,20,Cancelled
S00180,U00180,2024-11-10,2024-12-10,2025-09-06,50,Cancelled
S00181,U00181,2024-10-19,2024-11-18,2024-12-18,0,Cancelled
S00182,U00182,2024-02-22,2024-03-23,2024-09-19,0,Cancelled
S00183,U00183,2024-09-25,2024-10-25,2025-02-22,20,Cancelled
S00184,U00184,2024-06-22,2024-07-22,2025-02-17,20,Cancelled
S00185,U00185,2024-05-25,2024-06-24,2024-08-23,0,Cancelled
S00186,U00186,2024-06-07,2024-07-07,2025-02-02,50,Cancelled
S00187,U00187,2024-10-13,2024-11-12,2025-01-11,50,Cancelled
S00188,U00188,2024-09-17,2024-10-17,2025-06-14,0,Cancelled
S00189,U00189,2024-04-08,2024-05-08,2024-05-08,0,Cancelled
S00190,U00190,2024-11-12,2024-12-12,,0,Active
S00191,U00191,2024-01-23,2024-02-22,2024-05-22,20,Cancelled
S00192,U00192,2024-09-30,2024-10-30,2024-10-30,50,Cancelled
S00193,U00193,2024-05-24,2024-06-23,2024-08-22,0,Cancelled
S00194,U00194,2024-01-27,2024-02-26,,50,Active
S00195,U00195,2024-02-12,2024-03-13,,20,Active
S00196,U00196,2024-08-18,2024-09-17,2024-10-17,50,Cancelled
S00197,U00197,2024-07-16,2024-08-15,2025-04-12,0,Cancelled
S00198,U00198,2024-03-11,2024-04-10,2024-04-10,50,Cancelled
S00199,U00199,2024-11-11,2024-12-11,2024-12-11,0,Cancelled
S00200,U00200,2024-05-27,2024-06-26,,20,Active
S00201,U00201,2024-02-26,2024-03-27,2024-04-26,50,Cancelled
S00202,U00202,2024-05-29,2024-06-28,2024-09-26,50,Cancelled
S00203,U00203,2024-12-06,2025-01-05,,50,Active
S00204,U00204,2024-08-28,2024-09-27,2024-09-27,50,Cancelled
S00205,U00205,2024-02-04,2024-03-05,2024-04-04,0,Cancelled
S00206,U00206,2024-11-25,2024-12-25,2025-06-23,50,Cancelled
S00207,U00207,2024-02-02,2024-03-03,2024-06-01,0,Cancelled
S00208,U00208,2024-06-10,2024-07-10,2025-02-05,0,Cancelled
S00209,U00209,2024-07-01,2024-07-31,2024-07-31,20,Cancelled
S00210,U00210,2024-08-13,2024-09-12,2025-02-09,20,Cancelled
S00211,U00211,2024-02-12,2024-03-13,,0,Active
S00212,U00212,2024-02-22,2024-03-23,2024-05-22,50,Cancelled
S00213,U00213,2024-12-19,2025-01-18,2025-04-18,20,Cancelled
S00214,U00214,2024-11-23,2024-12-23,2025-03-23,50,Cancelled
S00215,U00215,2024-03-14,2024-04-13,2024-07-12,0,Cancelled
S00216,U00216,2024-07-04,2024-08-03,2024-09-02,20,Cancelled
S00217,U00217,2024-08-15,2024-09-14,2025-07-11,20,Cancelled
S00218,U00218,2024-05-07,2024-06-06,2024-09-04,20,Cancelled
S00219,U00219,2024-05-13,2024-06-12,,20,Active
S00220,U00220,2024-03-10,2024-04-09,2024-05-09,0,Cancelled
S00221,U00221,2024-12-29,2025-01-28,,0,Active
S00222,U00222,2024-09-17,2024-10-17,2024-10-17,20,Cancelled
S00223,U00223,2024-10-10,2024-11-09,2025-01-08,0,Cancelled
S00224,U00224,2024-07-22,2024-08-21,2025-02-17,50,Cancelled
S00225,U00225,2024-06-11,2024-07-11,2024-08-10,50,Cancelled
S00226,U00226,2024-10-09,2024-11-08,2025-08-05,50,Cancelled
S00227,U00227,2024-09-22,2024-10-22,2024-12-21,50,Cancelled
S00228,U00228,2024-09-22,2024-10-22,2025-04-20,50,Cancelled
S00229,U00229,2024-11-16,2024-12-16,2025-01-15,50,Cancelled
S00230,U00230,2024-03-28,2024-04-27,2024-10-24,0,Cancelled
S00231,U00231,2024-01-24,2024-02-23,2024-06-22,20,Cancelled
S00232,U00232,2024-11-17,2024-12-17,2025-03-17,50,Cancelled
S00233,U00233,2024-08-20,2024-09-19,2025-03-18,20,Cancelled
S00234,U00234,2024-04-14,2024-05-14,2024-10-11,20,Cancelled
S00235,U00235,2024-03-07,2024-04-06,2024-04-06,0,Cancelled
S00236,U00236,2024-05-16,2024-06-15,2024-08-14,20,Cancelled
S00237,U00237,2024-05-07,2024-06-06,2024-06-06,0,Cancelled
S00238,U00238,2024-09-20,2024-10-20,2025-04-18,0,Cancelled
S00239,U00239,2024-05-03,2024-06-02,2024-08-01,20,Cancelled
S00240,U00240,2024-05-26,2024-06-25,2024-10-23,20,Cancelled
S00241,U00241,2024-07-06,2024-08-05,2025-06-01,0,Cancelled
S00242,U00242,2024-02-07,2024-03-08,2024-05-07,50,Cancelled
S00243,U00243,2024-02-19,2024-03-20,,0,Active
S00244,U00244,2024-01-24,2024-02-23,2024-03-24,20,Cancelled
S00245,U00245,2024-06-16,2024-07-16,2024-11-13,50,Cancelled
S00246,U00246,2024-09-16,2024-10-16,2025-03-15,0,Cancelled
S00247,U00247,2024-12-10,2025-01-09,2025-05-09,50,Cancelled
S00248,U00248,2024-05-15,2024-06-14,2024-11-11,0,Cancelled
S00249,U00249,2024-09-25,2024-10-25,2025-04-23,50,Cancelled
S00250,U00250,2024-10-20,2024-11-19,2025-01-18,20,Cancelled
S00251,U00251,2024-07-30,2024-08-29,2025-04-26,50,Cancelled
S00252,U00252,2024-09-22,2024-10-22,2025-05-20,50,Cancelled
S00253,U00253,2024-03-29,2024-04-28,2024-08-26,50,Cancelled
S00254,U00254,2024-04-08,2024-05-08,2024-10-05,20,Cancelled
S00255,U00255,2024-12-19,2025-01-18,2025-05-18,50,Cancelled
S00256,U00256,2024-03-03,2024-04-02,2024-04-02,20,Cancelled
S00257,U00257,2024-01-22,2024-02-21,2024-05-21,50,Cancelled
S00258,U00258,2024-04-19,2024-05-19,2025-02-13,20,Cancelled
S00259,U00259,2024-11-11,2024-12-11,,50,Active
S00260,U00260,2024-01-27,2024-02-26,2024-02-26,0,Cancelled
S00261,U00261,2024-10-08,2024-11-07,2025-01-06,0,Cancelled
S00262,U00262,2024-05-26,2024-06-25,,50,Active
S00263,U00263,2024-08-01,2024-08-31,2024-10-30,50,Cancelled
S00264,U00264,2024-01-05,2024-02-04,2024-02-04,20,Cancelled
S00265,U00265,2024-03-09,2024-04-08,2024-05-08,20,Cancelled
S00266,U00266,2024-11-27,2024-12-27,2025-04-26,20,Cancelled
S00267,U00267,2024-03-30,2024-04-29,2024-04-29,20,Cancelled
S00268,U00268,2024-12-08,2025-01-07,2025-04-07,0,Cancelled
S00269,U00269,2024-07-15,2024-08-14,2025-06-10,50,Cancelled
S00270,U00270,2024-11-30,2024-12-30,2025-03-30,0,Cancelled
S00271,U00271,2024-03-22,2024-04-21,2024-08-19,0,Cancelled
S00272,U00272,2024-11-10,2024-12-10,2025-09-06,20,Cancelled
S00273,U00273,2024-12-25,2025-01-24,2025-01-24,50,Cancelled
S00274,U00274,2024-09-27,2024-10-27,2025-05-25,50,Cancelled
S00275,U00275,2024-03-25,2024-04-24,2024-11-20,0,Cancelled
S00276,U00276,2024-09-18,2024-10-18,,20,Active
S00277,U00277,2024-10-13,2024-11-12,2025-06-10,20,Cancelled
S00278,U00278,2024-10-23,2024-11-22,2024-12-22,0,Cancelled
S00279,U00279,2024-08-29,2024-09-28,,50,Active
S00280,U00280,2024-07-14,2024-08-13,2025-01-10,50,Cancelled
S00281,U00281,2024-03-01,2024-03-31,2024-07-29,50,Cancelled
S00282,U00282,2024-01-12,2024-02-11,2024-11-07,20,Cancelled
S00283,U00283,2024-08-23,2024-09-22,2025-02-19,0,Cancelled
S00284,U00284,2024-11-10,2024-12-10,2025-04-09,50,Cancelled
S00285,U00285,2024-11-02,2024-12-02,2025-05-01,0,Cancelled
S00286,U00286,2024-04-29,2024-05-29,2024-06-28,20,Cancelled
S00287,U00287,2024-10-22,2024-11-21,2024-11-21,0,Cancelled
S00288,U00288,2024-06-02,2024-07-02,2024-08-01,50,Cancelled
S00289,U00289,2024-01-25,2024-02-24,2024-04-24,20,Cancelled
S00290,U00290,2024-06-02,2024-07-02,2024-12-29,0,Cancelled
S00291,U00291,2024-08-25,2024-09-24,2025-06-21,50,Cancelled
S00292,U00292,2024-05-04,2024-06-03,2024-06-03,20,Cancelled
S00293,U00293,2024-01-27,2024-02-26,2024-02-26,0,Cancelled
S00294,U00294,2024-04-16,2024-05-16,2025-03-12,50,Cancelled
S00295,U00295,2024-05-04,2024-06-03,2024-09-01,50,Cancelled
S00296,U00296,2024-07-13,2024-08-12,2024-09-11,20,Cancelled
S00297,U00297,2024-02-20,2024-03-21,2024-04-20,20,Cancelled
S00298,U00298,2024-10-15,2024-11-14,2025-01-13,50,Cancelled
S00299,U00299,2024-03-19,2024-04-18,2024-09-15,0,Cancelled
S00300,U00300,2024-05-11,2024-06-10,,50,Active
S00301,U00301,2024-03-12,2024-04-11,,50,Active
S00302,U00302,2024-02-08,2024-03-09,2024-11-04,50,Cancelled
S00303,U00303,2024-12-28,2025-01-27,,20,Active
S00304,U00304,2024-12-03,2025-01-02,2025-01-02,0,Cancelled
S00305,U00305,2024-01-09,2024-02-08,2024-04-08,0,Cancelled
S00306,U00306,2024-04-08,2024-05-08,2024-10-05,20,Cancelled
S00307,U00307,2024-07-26,2024-08-25,,50,Active
S00308,U00308,2024-02-17,2024-03-18,2024-05-17,50,Cancelled
S00309,U00309,2024-02-12,2024-03-13,2024-05-12,0,Cancelled
S00310,U00310,2024-12-20,2025-01-19,2025-07-18,50,Cancelled
S00311,U00311,2024-04-01,2024-05-01,,20,Active
S00312,U00312,2024-03-24,2024-04-23,2024-09-20,50,Cancelled
S00313,U00313,2024-03-12,2024-04-11,2024-05-11,0,Cancelled
S00314,U00314,2024-02-08,2024-03-09,2024-06-07,0,Cancelled
S00315,U00315,2024-09-08,2024-10-08,2025-01-06,0,Cancelled
S00316,U00316,2024-11-12,2024-12-12,,0,Active
S00317,U00317,2024-07-18,2024-08-17,2024-09-16,20,Cancelled
S00318,U00318,2024-05-18,2024-06-17,2024-10-15,20,Cancelled
S00319,U00319,2024-01-14,2024-02-13,2024-10-10,50,Cancelled
S00320,U00320,2024-01-07,2024-02-06,2024-03-07,50,Cancelled
S00321,U00321,2024-12-16,2025-01-15,2025-09-12,20,Cancelled
S00322,U00322,2024-02-02,2024-03-03,2024-07-31,20,Cancelled
S00323,U00323,2024-05-08,2024-06-07,,0,Active
S00324,U00324,2024-03-10,2024-04-09,2024-08-07,20,Cancelled
S00325,U00325,2024-06-20,2024-07-20,2025-02-15,20,Cancelled
S00326,U00326,2024-06-09,2024-07-09,2024-07-09,50,Cancelled
S00327,U00327,2024-06-15,2024-07-15,2025-03-12,50,Cancelled
S00328,U00328,2024-12-15,2025-01-14,2025-07-13,20,Cancelled
S00329,U00329,2024-12-10,2025-01-09,2025-04-09,50,Cancelled
S00330,U00330,2024-07-12,2024-08-11,2025-03-09,20,Cancelled
S00331,U00331,2024-07-03,2024-08-02,2024-11-30,0,Cancelled
S00332,U00332,2024-11-27,2024-12-27,,20,Active
S00333,U00333,2024-02-20,2024-03-21,2024-03-21,20,Cancelled
S00334,U00334,2024-12-13,2025-01-12,,0,Active
S00335,U00335,2024-05-31,2024-06-30,2024-09-28,20,Cancelled
S00336,U00336,2024-04-15,2024-05-15,2024-06-14,20,Cancelled
S00337,U00337,2024-02-04,2024-03-05,2024-09-01,50,Cancelled
S00338,U00338,2024-05-04,2024-06-03,2024-09-01,50,Cancelled
S00339,U00339,2024-04-28,2024-05-28,2025-02-22,50,Cancelled
S00340,U00340,2024-01-15,2024-02-14,2024-04-14,20,Cancelled
S00341,U00341,2024-12-26,2025-01-25,2025-02-24,50,Cancelled
S00342,U00342,2024-07-06,2024-08-05,2024-09-04,50,Cancelled
S00343,U00343,2024-11-01,2024-12-01,2025-01-30,20,Cancelled
S00344,U00344,2024-12-10,2025-01-09,,0,Active
S00345,U00345,2024-05-02,2024-06-01,2024-08-30,0,Cancelled
S00346,U00346,2024-11-01,2024-12-01,,20,Active
S00347,U00347,2024-09-07,2024-10-07,2024-11-06,50,Cancelled
S00348,U00348,2024-01-05,2024-02-04,2024-02-04,50,Cancelled
S00349,U00349,2024-12-16,2025-01-15,2025-03-16,0,Cancelled
S00350,U00350,2024-05-29,2024-06-28,,0,Active
S00351,U00351,2024-10-08,2024-11-07,2024-11-07,50,Cancelled
S00352,U00352,2024-08-13,2024-09-12,2024-09-12,50,Cancelled
S00353,U00353,2024-01-17,2024-02-16,2024-08-14,0,Cancelled
S00354,U00354,2024-10-28,2024-11-27,2025-01-26,50,Cancelled
S00355,U00355,2024-04-15,2024-05-15,2024-05-15,50,Cancelled
S00356,U00356,2024-12-26,2025-01-25,2025-03-26,50,Cancelled
S00357,U00357,2024-07-29,2024-08-28,2024-08-28,0,Cancelled
S00358,U00358,2024-05-06,2024-06-05,2025-01-01,50,Cancelled
S00359,U00359,2024-07-11,2024-08-10,2025-02-06,50,Cancelled
S00360,U00360,2024-08-20,2024-09-19,,0,Active
S00361,U00361,2024-02-02,2024-03-03,2024-03-03,20,Cancelled
S00362,U00362,2024-05-25,2024-06-24,2024-08-23,20,Cancelled
S00363,U00363,2024-01-24,2024-02-23,2024-07-22,0,Cancelled
S00364,U00364,2024-01-01,2024-01-31,2024-03-31,20,Cancelled
S00365,U00365,2024-05-08,2024-06-07,2025-01-03,50,Cancelled
S00366,U00366,2024-08-07,2024-09-06,2024-09-06,20,Cancelled
S00367,U00367,2024-10-30,2024-11-29,2025-02-27,50,Cancelled
S00368,U00368,2024-08-04,2024-09-03,2024-11-02,20,Cancelled
S00369,U00369,2024-02-22,2024-03-23,2024-08-20,0,Cancelled
S00370,U00370,2024-09-28,2024-10-28,2025-02-25,20,Cancelled
S00371,U00371,2024-07-29,2024-08-28,2024-08-28,0,Cancelled
S00372,U00372,2024-10-28,2024-11-27,,0,Active
S00373,U00373,2024-11-26,2024-12-26,2025-06-24,50,Cancelled
S00374,U00374,2024-12-03,2025-01-02,2025-02-01,20,Cancelled
S00375,U00375,2024-05-02,2024-06-01,2024-08-30,50,Cancelled
S00376,U00376,2024-07-03,2024-08-02,2024-11-30,50,Cancelled
S00377,U00377,2024-02-07,2024-03-08,2024-09-04,0,Cancelled
S00378,U00378,2024-07-22,2024-08-21,2024-09-20,50,Cancelled
S00379,U00379,2024-11-23,2024-12-23,2025-01-22,0,Cancelled
S00380,U00380,2024-09-18,2024-10-18,2025-03-17,50,Cancelled
S00381,U00381,2024-12-23,2025-01-22,2025-04-22,0,Cancelled
S00382,U00382,2024-08-20,2024-09-19,2024-11-18,50,Cancelled
S00383,U00383,2024-01-07,2024-02-06,2024-11-02,20,Cancelled
S00384,U00384,2024-07-09,2024-08-08,2024-12-06,0,Cancelled
S00385,U00385,2024-05-19,2024-06-18,2024-06-18,20,Cancelled
S00386,U00386,2024-09-12,2024-10-12,,0,Active
S00387,U00387,2024-09-17,2024-10-17,2024-11-16,20,Cancelled
