transaction_id,user_id,transaction_date,order_value,product_category,product_name,quantity,discount,payment_method,first_transaction_date,cohort_month
T000125,U00030,2024-05-05,411.21,Software,Starter,2,20,Net Banking,2024-05-05,2024-05
T000126,U00030,2024-05-05,293.23,Accessories,Starter,1,15,Net Banking,2024-05-05,2024-05
T000127,U00030,2024-07-08,464.86,Subscription,Pro,3,0,Card,2024-05-05,2024-05
T000128,U00030,2024-07-06,469.96,Accessories,Starter,3,15,PayPal,2024-05-05,2024-05
T000130,U00031,2024-08-18,33.29,Course,Starter,3,5,UPI,2024-08-18,2024-08
T000131,U00031,2024-12-17,441.85,Software,Starter,3,0,PayPal,2024-08-18,2024-08
T000132,U00032,2024-04-13,83.61,Subscription,Analytics Add-on,1,15,PayPal,2024-04-12,2024-04
T000133,U00032,2024-04-12,276.43,Accessories,Pro,2,20,UPI,2024-04-12,2024-04
T000134,U00032,2024-05-15,53.65,Course,Starter,2,0,Net Banking,2024-04-12,2024-04
T000135,U00032,2024-05-13,231.69,Accessories,Enterprise,1,15,Net Banking,2024-04-12,2024-04
T000136,U00032,2024-06-14,398.98,Course,Starter,1,5,PayPal,2024-04-12,2024-04
T000137,U00032,2024-06-11,203.77,Software,Enterprise,3,5,Net Banking,2024-04-12,2024-04
T000138,U00032,2024-07-11,37.73,Course,Analytics Add-on,3,5,Net Banking,2024-04-12,2024-04
T000139,U00032,2024-08-08,78.92,Subscription,Analytics Add-on,1,10,UPI,2024-04-12,2024-04
T000141,U00032,2024-09-07,340.08,Subscription,Starter,3,20,Net Banking,2024-04-12,2024-04
T000142,U00032,2024-10-11,344.14,Accessories,Enterprise,3,0,Card,2024-04-12,2024-04
T000143,U00032,2024-10-09,460.02,Course,Pro,2,10,UPI,2024-04-12,2024-04
T000144,U00032,2024-11-03,241.9,Accessories,Analytics Add-on,2,15,PayPal,2024-04-12,2024-04
T000145,U00033,2024-11-01,275.52,Software,Analytics Add-on,2,20,Card,2024-11-01,2024-11
T000147,U00033,2024-11-30,435.5,Course,Pro,1,10,PayPal,2024-11-01,2024-11
T000148,U00034,2024-02-11,253.74,Accessories,Pro,1,20,UPI,2024-02-11,2024-02
T000150,U00036,2024-12-12,212.48,Course,Analytics Add-on,3,15,Card,2024-12-12,2024-12
T000151,U00037,2024-06-16,359.51,Course,Starter,3,20,UPI,2024-06-16,2024-06
T000153,U00037,2024-07-12,110.84,Course,Pro,2,10,Card,2024-06-16,2024-06
T000154,U00037,2024-08-11,37.32,Subscription,Enterprise,1,5,Card,2024-06-16,2024-06
T000156,U00037,2024-10-11,342.3,Software,Pro,1,5,Net Banking,2024-06-16,2024-06
T000157,U00037,2024-11-10,35.42,Subscription,Pro,3,5,PayPal,2024-06-16,2024-06
T000158,U00038,2024-10-18,347.66,Subscription,Analytics Add-on,3,0,UPI,2024-10-18,2024-10
T000159,U00038,2024-11-17,336.87,Course,Starter,1,5,UPI,2024-10-18,2024-10
T000160,U00038,2024-11-18,96.15,Subscription,Analytics Add-on,3,10,Card,2024-10-18,2024-10
T000161,U00038,2024-12-16,361.54,Accessories,Pro,1,0,Card,2024-10-18,2024-10
T000163,U00039,2024-08-12,180.44,Subscription,Pro,2,10,PayPal,2024-08-12,2024-08
T000164,U00039,2024-10-17,344.43,Subscription,Starter,3,15,Card,2024-08-12,2024-08
T000165,U00039,2024-10-17,165.25,Software,Enterprise,3,5,UPI,2024-08-12,2024-08
T000166,U00039,2024-12-16,399.39,Course,Pro,2,15,Net Banking,2024-08-12,2024-08
T000167,U00039,2025-01-09,148.12,Software,Starter,1,10,UPI,2024-08-12,2024-08
T000168,U00039,2025-01-09,67.01,Subscription,Starter,3,15,Card,2024-08-12,2024-08
T000169,U00039,2025-02-14,25.29,Course,Starter,3,0,PayPal,2024-08-12,2024-08
T000170,U00039,2025-03-12,55.9,Accessories,Enterprise,1,20,Card,2024-08-12,2024-08
T000171,U00039,2025-04-11,135.68,Course,Pro,2,20,Card,2024-08-12,2024-08
T000172,U00039,2025-05-16,363.68,Software,Starter,2,5,UPI,2024-08-12,2024-08
T000173,U00040,2024-03-13,76.88,Course,Pro,1,20,PayPal,2024-03-13,2024-03
T000178,U00041,2024-04-17,334.86,Accessories,Enterprise,3,10,Card,2024-04-17,2024-04
T000180,U00043,2024-10-13,461.7,Software,Starter,3,10,Net Banking,2024-10-13,2024-10
T000181,U00044,2024-08-11,484.58,Software,Enterprise,2,0,Card,2024-08-11,2024-08
T000182,U00044,2024-10-09,64.9,Subscription,Starter,1,15,Card,2024-08-11,2024-08
T000183,U00045,2024-01-24,41.43,Subscription,Starter,2,5,UPI,2024-01-21,2024-01
T000184,U00045,2024-01-21,379.26,Course,Enterprise,3,10,Net Banking,2024-01-21,2024-01
T000186,U00045,2024-02-25,339.55,Subscription,Starter,2,5,Net Banking,2024-01-21,2024-01
T000187,U00046,2024-05-31,392.49,Accessories,Pro,2,0,Net Banking,2024-05-31,2024-05
T000188,U00047,2024-12-10,264.22,Course,Enterprise,1,5,Card,2024-12-10,2024-12
T000189,U00047,2025-01-13,89.19,Accessories,Analytics Add-on,3,0,UPI,2024-12-10,2024-12
T000190,U00047,2025-02-09,96.56,Course,Pro,2,20,PayPal,2024-12-10,2024-12
T000191,U00047,2025-02-07,263.31,Software,Pro,1,0,PayPal,2024-12-10,2024-12
T000193,U00048,2024-09-03,236.74,Software,Enterprise,2,10,Card,2024-09-03,2024-09
T000194,U00048,2024-10-04,327.44,Software,Enterprise,3,0,UPI,2024-09-03,2024-09
T000195,U00050,2024-12-21,173.56,Subscription,Starter,1,10,UPI,2024-12-20,2024-12
T000196,U00050,2024-12-20,130.91,Accessories,Starter,3,10,Net Banking,2024-12-20,2024-12
T000197,U00051,2024-03-01,413.55,Course,Starter,2,20,Card,2024-03-01,2024-03
T000198,U00052,2024-10-30,172.89,Software,Analytics Add-on,1,5,UPI,2024-10-29,2024-10
T000199,U00052,2024-10-29,377.29,Software,Pro,2,15,UPI,2024-10-29,2024-10
T000200,U00052,2025-02-22,147.98,Course,Pro,1,20,Net Banking,2024-10-29,2024-10
T000201,U00052,2025-04-23,491.94,Accessories,Pro,2,20,PayPal,2024-10-29,2024-10
T000202,U00052,2025-04-26,441.35,Accessories,Enterprise,2,5,Card,2024-10-29,2024-10
T000203,U00053,2024-08-13,364.9,Software,Starter,1,5,Net Banking,2024-08-13,2024-08
T000205,U00054,2024-10-21,397.0,Subscription,Pro,2,20,PayPal,2024-10-21,2024-10
T000209,U00055,2024-08-13,424.39,Software,Enterprise,3,15,UPI,2024-08-13,2024-08
T000210,U00055,2024-10-09,299.62,Subscription,Pro,3,5,Card,2024-08-13,2024-08
T000211,U00055,2024-10-09,484.5,Course,Starter,3,15,UPI,2024-08-13,2024-08
T000212,U00055,2024-11-09,62.31,Course,Enterprise,2,0,Net Banking,2024-08-13,2024-08
T000213,U00056,2024-10-12,393.54,Software,Starter,3,5,PayPal,2024-10-12,2024-10
T000214,U00056,2024-10-12,342.55,Software,Pro,3,5,Card,2024-10-12,2024-10
T000218,U00056,2024-12-08,443.52,Software,Analytics Add-on,3,15,PayPal,2024-10-12,2024-10
T000219,U00056,2025-01-06,463.07,Subscription,Enterprise,1,5,Card,2024-10-12,2024-10
T000220,U00056,2025-01-06,253.97,Accessories,Pro,2,5,Card,2024-10-12,2024-10
T000221,U00056,2025-02-04,147.86,Course,Enterprise,1,10,UPI,2024-10-12,2024-10
T000222,U00056,2025-03-06,122.64,Subscription,Pro,3,15,Card,2024-10-12,2024-10
T000223,U00057,2024-08-19,44.12,Subscription,Pro,3,0,Net Banking,2024-08-19,2024-08
T000224,U00057,2024-09-16,293.1,Software,Starter,3,20,UPI,2024-08-19,2024-08
T000225,U00057,2024-09-15,107.18,Subscription,Analytics Add-on,2,0,Net Banking,2024-08-19,2024-08
T000227,U00057,2024-11-16,248.0,Subscription,Analytics Add-on,3,20,UPI,2024-08-19,2024-08
T000229,U00057,2025-01-18,429.27,Accessories,Pro,2,10,Card,2024-08-19,2024-08
T000230,U00057,2025-02-15,105.56,Course,Pro,1,15,PayPal,2024-08-19,2024-08
T000231,U00057,2025-02-17,52.77,Accessories,Starter,2,15,PayPal,2024-08-19,2024-08
T000232,U00057,2025-03-16,221.32,Course,Starter,3,0,Net Banking,2024-08-19,2024-08
T000233,U00057,2025-03-13,266.19,Subscription,Analytics Add-on,1,5,UPI,2024-08-19,2024-08
T000234,U00057,2025-04-18,344.77,Accessories,Pro,2,5,Card,2024-08-19,2024-08
T000235,U00057,2025-04-16,430.88,Subscription,Starter,3,0,Card,2024-08-19,2024-08
T000237,U00057,2025-06-16,105.62,Software,Starter,2,15,PayPal,2024-08-19,2024-08
T000238,U00057,2025-06-13,314.84,Software,Starter,3,20,Card,2024-08-19,2024-08
T000239,U00057,2025-07-13,293.43,Software,Pro,3,0,PayPal,2024-08-19,2024-08
T000242,U00058,2024-09-23,317.73,Subscription,Starter,3,15,Net Banking,2024-09-23,2024-09
T000243,U00058,2024-10-26,104.75,Accessories,Analytics Add-on,3,10,PayPal,2024-09-23,2024-09
T000244,U00058,2024-11-23,417.11,Software,Analytics Add-on,3,5,Card,2024-09-23,2024-09
T000245,U00058,2024-11-21,235.85,Software,Pro,1,10,Card,2024-09-23,2024-09
T000246,U00058,2024-12-21,106.25,Course,Starter,1,20,PayPal,2024-09-23,2024-09
T000247,U00058,2025-02-23,55.71,Subscription,Pro,1,0,Card,2024-09-23,2024-09
T000248,U00058,2025-03-27,189.61,Course,Starter,1,0,Card,2024-09-23,2024-09
T000249,U00058,2025-03-24,424.29,Subscription,Pro,2,20,Card,2024-09-23,2024-09
T000250,U00058,2025-05-20,402.12,Subscription,Starter,3,10,PayPal,2024-09-23,2024-09
T000251,U00059,2024-04-13,403.58,Accessories,Enterprise,3,5,UPI,2024-04-13,2024-04
T000252,U00059,2024-05-16,478.4,Subscription,Pro,1,20,Card,2024-04-13,2024-04
T000253,U00059,2024-06-15,20.95,Course,Pro,2,15,Net Banking,2024-04-13,2024-04
T000257,U00059,2024-08-10,407.49,Software,Analytics Add-on,3,10,Card,2024-04-13,2024-04
T000258,U00059,2024-08-10,56.6,Accessories,Starter,3,0,UPI,2024-04-13,2024-04
T000259,U00059,2024-09-12,446.13,Accessories,Pro,3,15,PayPal,2024-04-13,2024-04
T000261,U00059,2024-10-12,337.19,Accessories,Analytics Add-on,3,10,UPI,2024-04-13,2024-04
T000262,U00059,2024-11-08,30.91,Software,Starter,2,15,Card,2024-04-13,2024-04
T000263,U00060,2024-08-06,159.44,Software,Enterprise,3,10,UPI,2024-08-06,2024-08
T000264,U00060,2024-08-06,186.7,Software,Enterprise,3,10,Net Banking,2024-08-06,2024-08
T000265,U00060,2024-09-30,299.65,Course,Enterprise,1,10,Card,2024-08-06,2024-08
T000266,U00060,2024-09-30,269.36,Course,Enterprise,1,20,UPI,2024-08-06,2024-08
T000267,U00061,2024-12-04,195.97,Course,Enterprise,2,20,PayPal,2024-12-04,2024-12
T000268,U00061,2024-12-05,227.12,Course,Starter,1,5,UPI,2024-12-04,2024-12
T000269,U00062,2024-10-19,392.15,Subscription,Starter,3,20,UPI,2024-10-19,2024-10
T000270,U00062,2024-11-17,81.33,Accessories,Enterprise,1,0,UPI,2024-10-19,2024-10
T000271,U00062,2025-02-13,216.7,Subscription,Analytics Add-on,3,15,Net Banking,2024-10-19,2024-10
T000272,U00062,2025-02-10,496.47,Course,Pro,3,0,UPI,2024-10-19,2024-10
T000273,U00062,2025-03-15,457.9,Software,Enterprise,2,20,Card,2024-10-19,2024-10
T000274,U00063,2024-11-14,448.09,Course,Pro,3,0,Card,2024-11-14,2024-11
T000275,U00063,2024-12-09,41.49,Accessories,Pro,2,0,PayPal,2024-11-14,2024-11
T000276,U00063,2024-12-09,479.5,Course,Starter,3,10,PayPal,2024-11-14,2024-11
T000277,U00064,2024-05-14,92.74,Software,Enterprise,3,10,Net Banking,2024-05-14,2024-05
T000278,U00064,2024-05-16,354.28,Subscription,Pro,2,20,Card,2024-05-14,2024-05
T000281,U00064,2024-09-10,191.67,Accessories,Starter,3,0,UPI,2024-05-14,2024-05
T000282,U00064,2024-09-12,31.06,Course,Enterprise,2,0,Card,2024-05-14,2024-05
T000283,U00064,2024-11-14,417.72,Accessories,Analytics Add-on,1,0,Net Banking,2024-05-14,2024-05
T000284,U00064,2024-12-11,490.71,Accessories,Analytics Add-on,1,15,Net Banking,2024-05-14,2024-05
T000285,U00064,2024-12-13,395.71,Subscription,Starter,1,10,UPI,2024-05-14,2024-05
T000288,U00064,2025-02-11,191.74,Accessories,Enterprise,1,15,Net Banking,2024-05-14,2024-05
T000290,U00064,2025-03-13,465.23,Course,Starter,1,15,Net Banking,2024-05-14,2024-05
T000291,U00064,2025-04-09,284.78,Accessories,Starter,1,0,PayPal,2024-05-14,2024-05
T000294,U00065,2024-10-13,44.69,Accessories,Pro,3,10,PayPal,2024-10-13,2024-10
T000295,U00065,2024-10-14,320.7,Software,Analytics Add-on,3,10,Net Banking,2024-10-13,2024-10
T000296,U00066,2024-03-14,342.67,Subscription,Analytics Add-on,2,15,Card,2024-03-14,2024-03
T000297,U00066,2024-03-14,120.45,Accessories,Enterprise,3,10,PayPal,2024-03-14,2024-03
T000298,U00066,2024-04-14,254.86,Software,Enterprise,3,5,UPI,2024-03-14,2024-03
T000299,U00066,2024-04-17,300.5,Software,Analytics Add-on,1,0,Card,2024-03-14,2024-03
T000300,U00067,2024-08-06,105.22,Accessories,Pro,3,10,Net Banking,2024-08-06,2024-08
T000302,U00067,2024-09-03,267.29,Accessories,Analytics Add-on,1,20,UPI,2024-08-06,2024-08
T000303,U00067,2024-09-04,182.88,Subscription,Starter,2,5,Card,2024-08-06,2024-08
T000304,U00068,2024-08-24,190.2,Software,Enterprise,3,15,Card,2024-08-22,2024-08
T000305,U00068,2024-08-22,403.97,Subscription,Starter,2,15,Net Banking,2024-08-22,2024-08
T000306,U00068,2024-09-19,23.87,Software,Analytics Add-on,1,0,Card,2024-08-22,2024-08
T000308,U00068,2024-10-18,214.34,Course,Enterprise,2,20,PayPal,2024-08-22,2024-08
T000309,U00068,2024-10-19,68.51,Accessories,Enterprise,2,0,PayPal,2024-08-22,2024-08
T000310,U00068,2024-11-17,444.21,Subscription,Pro,1,10,Card,2024-08-22,2024-08
T000311,U00068,2024-12-19,127.53,Course,Pro,1,0,Card,2024-08-22,2024-08
T000312,U00068,2024-12-19,312.67,Course,Analytics Add-on,2,20,Card,2024-08-22,2024-08
T000313,U00068,2025-01-19,328.31,Subscription,Starter,2,5,PayPal,2024-08-22,2024-08
T000314,U00068,2025-01-18,61.03,Subscription,Pro,2,0,Net Banking,2024-08-22,2024-08
T000316,U00068,2025-05-17,476.38,Accessories,Starter,3,10,PayPal,2024-08-22,2024-08
T000317,U00068,2025-05-19,237.35,Accessories,Pro,3,0,Card,2024-08-22,2024-08
T000318,U00069,2024-08-22,141.96,Software,Enterprise,2,10,UPI,2024-08-22,2024-08
T000321,U00071,2024-03-11,489.63,Software,Enterprise,1,10,PayPal,2024-03-11,2024-03
T000322,U00071,2024-04-11,112.25,Accessories,Starter,1,20,Card,2024-03-11,2024-03
T000324,U00071,2024-10-05,287.39,Subscription,Enterprise,3,20,Net Banking,2024-03-11,2024-03
T000325,U00071,2024-12-04,85.26,Course,Starter,3,10,UPI,2024-03-11,2024-03
T000326,U00071,2025-01-04,240.1,Course,Enterprise,3,10,UPI,2024-03-11,2024-03
T000327,U00071,2025-02-04,457.91,Course,Pro,1,5,UPI,2024-03-11,2024-03
T000328,U00072,2025-01-25,31.92,Course,Enterprise,2,15,UPI,2025-01-25,2025-01
T000329,U00072,2025-04-01,391.14,Subscription,Pro,3,0,PayPal,2025-01-25,2025-01
T000331,U00073,2024-05-24,258.17,Course,Analytics Add-on,2,20,PayPal,2024-05-24,2024-05
T000333,U00073,2024-06-19,290.6,Course,Enterprise,2,10,PayPal,2024-05-24,2024-05
T000335,U00073,2024-07-21,170.06,Software,Analytics Add-on,1,5,Net Banking,2024-05-24,2024-05
T000337,U00073,2024-09-18,126.99,Subscription,Enterprise,2,20,PayPal,2024-05-24,2024-05
T000338,U00073,2024-09-16,265.88,Course,Starter,1,5,UPI,2024-05-24,2024-05
T000339,U00073,2024-10-23,198.99,Subscription,Starter,1,15,PayPal,2024-05-24,2024-05
T000340,U00073,2024-10-20,418.06,Course,Starter,3,15,Net Banking,2024-05-24,2024-05
T000341,U00073,2024-11-20,382.45,Subscription,Starter,3,0,UPI,2024-05-24,2024-05
T000342,U00073,2025-01-15,393.17,Subscription,Enterprise,3,15,PayPal,2024-05-24,2024-05
T000343,U00073,2025-01-14,101.92,Course,Enterprise,1,10,Net Banking,2024-05-24,2024-05
T000344,U00075,2024-02-19,327.01,Course,Analytics Add-on,3,20,PayPal,2024-02-19,2024-02
T000345,U00076,2025-01-13,296.27,Accessories,Starter,3,20,Card,2025-01-13,2025-01
T000346,U00076,2025-01-14,39.59,Subscription,Enterprise,1,20,Card,2025-01-13,2025-01
T000347,U00076,2025-02-11,195.34,Subscription,Analytics Add-on,3,5,Card,2025-01-13,2025-01
T000348,U00076,2025-03-10,380.48,Software,Analytics Add-on,3,5,PayPal,2025-01-13,2025-01
T000350,U00077,2024-11-12,356.18,Accessories,Enterprise,3,10,Card,2024-11-12,2024-11
T000351,U00077,2024-12-11,360.13,Accessories,Starter,3,0,UPI,2024-11-12,2024-11
T000353,U00077,2025-02-07,97.55,Software,Starter,1,20,PayPal,2024-11-12,2024-11
T000354,U00077,2025-03-08,392.97,Accessories,Analytics Add-on,1,5,PayPal,2024-11-12,2024-11
T000356,U00078,2025-01-21,171.8,Course,Analytics Add-on,3,20,Net Banking,2025-01-21,2025-01
T000357,U00078,2025-02-22,214.52,Subscription,Enterprise,2,15,Net Banking,2025-01-21,2025-01
T000358,U00078,2025-02-23,124.05,Software,Pro,3,15,Net Banking,2025-01-21,2025-01
